BBTNToBrokerCode	BBTN	Start	2025-12-24	End	2025-12-24	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
YP	29,737	3,423,903,000	1151.39	1	YP	29,999	3,453,117,500	1151.08
BB	20,000	2,311,275,000	1155.64	2	CP	28,104	3,250,012,000	1156.42
CC	8,275	953,910,000	1152.76	3	CC	21,361	2,464,793,500	1153.88
XL	8,232	949,381,000	1153.28	4	XL	6,147	708,761,000	1153.02
AK	7,816	903,468,000	1155.92	5	AZ	5,281	609,963,500	1155.02
BK	7,318	845,385,500	1155.21	6	KK	4,396	508,198,500	1156.05
AZ	6,054	698,759,500	1154.21	7	XC	3,932	455,572,500	1158.63
NI	4,557	528,032,000	1158.73	8	SQ	3,521	406,268,000	1153.84
SQ	3,250	375,321,500	1154.84	9	NI	3,388	390,032,500	1151.22
XC	2,970	343,014,000	1154.93	10	BK	2,041	235,464,000	1153.67
DR	2,912	335,048,000	1150.58	11	AK	1,834	211,998,500	1155.94
IF	2,533	292,568,000	1155.03	12	PD	1,652	190,689,500	1154.29
PD	2,158	248,759,500	1152.73	13	OD	1,318	151,903,000	1152.53
LG	2,144	248,535,500	1159.21	14	GR	1,102	127,230,000	1154.54
KK	1,799	208,207,000	1157.35	15	LG	978	113,029,000	1155.72
OD	1,416	163,918,500	1157.62	16	MG	842	97,251,000	1155.00
YU	1,316	151,451,500	1150.85	17	EP	781	90,127,500	1154.00
BS	1,229	142,564,000	1160.00	18	YJ	750	86,925,000	1159.00
YB	1,069	122,945,000	1150.09	19	AG	705	81,577,500	1157.13
EP	977	112,964,000	1156.23	20	LS	495	56,930,000	1150.10
GR	782	90,154,000	1152.86	21	HD	486	55,941,000	1151.05
YJ	510	59,052,500	1157.89	22	DH	240	27,686,500	1153.60
CP	487	56,414,000	1158.40	23	DR	207	23,911,000	1155.12
HD	486	55,896,500	1150.13	24	YB	166	19,173,000	1155.00
HP	442	50,830,000	1150.00	25	AI	149	17,185,000	1153.36
RS	300	34,650,000	1155.00	26	XA	130	15,014,500	1154.96
AT	261	30,015,500	1150.02	27	DX	63	7,265,000	1153.17
ES	201	23,215,000	1154.98	28	ZR	50	5,800,000	1160.00
TP	201	23,115,500	1150.02	29	AT	50	5,775,000	1155.00
TS	200	23,025,000	1151.25	30	HP	42	4,892,500	1164.88
AG	131	15,161,000	1157.33	31	KI	21	2,425,000	1154.76
XA	131	15,140,000	1155.73	32	PC	15	1,740,000	1160.00
DH	112	12,882,500	1150.22	33	BQ	11	1,270,500	1155.00
DX	100	11,550,000	1155.00	34	YU	7	811,500	1159.29
ZR	50	5,725,000	1145.00	35	CD	7	805,000	1150.00
BR	35	4,060,000	1160.00	36	 	 	 	 
ZP	26	3,003,500	1155.19	37	 	 	 	 
KI	26	3,002,500	1154.81	38	 	 	 	 
BQ	16	1,845,500	1153.44	39	 	 	 	 
AI	10	1,160,000	1160.00	40	 	 	 	 
QA	1	115,500	1155.00	41	 	 	 	 
MU	1	115,500	1155.00	42	 	 	 	 
