BBTNToBrokerCode	BBTN	Start	2025-12-22	End	2025-12-22	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
YP	26,746	3,096,713,500	1157.82	1	HP	25,300	2,920,850,000	1154.49
YU	20,897	2,429,086,000	1162.41	2	AK	15,029	1,746,899,500	1162.35
CC	15,593	1,810,786,000	1161.28	3	FZ	15,000	1,730,072,000	1153.38
ZP	12,742	1,478,129,000	1160.04	4	CC	11,033	1,283,179,500	1163.04
AK	9,954	1,149,915,000	1155.23	5	YP	10,836	1,258,756,500	1161.64
XL	7,197	834,728,000	1159.83	6	PD	10,056	1,168,776,500	1162.27
BB	6,971	809,131,000	1160.71	7	XL	8,847	1,027,918,500	1161.88
KK	4,970	577,014,500	1160.99	8	KK	7,806	901,240,000	1154.55
BQ	4,539	527,525,500	1162.21	9	OD	5,213	604,147,500	1158.92
YJ	4,000	462,000,000	1155.00	10	AZ	5,101	586,776,000	1150.32
PD	3,614	418,182,500	1157.12	11	BK	4,759	555,731,000	1167.75
SQ	3,349	387,634,500	1157.46	12	NI	4,670	542,762,000	1162.23
XC	3,302	381,158,500	1154.33	13	XC	4,066	473,508,500	1164.56
NI	3,206	370,914,500	1156.94	14	BQ	2,097	244,851,500	1167.63
OD	2,680	311,549,500	1162.50	15	SQ	1,937	225,606,000	1164.72
BK	2,447	283,633,000	1159.11	16	CP	1,372	159,828,500	1164.93
EP	1,521	176,562,000	1160.83	17	EP	1,270	147,932,500	1164.82
LS	1,460	169,475,000	1160.79	18	MG	1,000	116,500,000	1165.00
XA	951	110,268,500	1159.50	19	DR	984	114,185,000	1160.42
AZ	950	109,972,000	1157.60	20	DX	804	93,187,000	1159.04
GR	815	93,870,500	1151.79	21	ZP	629	73,375,000	1166.53
HD	643	74,490,000	1158.48	22	HD	539	62,703,500	1163.33
DR	428	49,664,000	1160.37	23	LG	365	42,173,500	1155.44
CP	225	26,001,000	1155.60	24	AT	270	31,205,000	1155.74
YB	219	25,360,500	1158.01	25	YJ	231	26,911,500	1165.00
RS	200	23,100,000	1155.00	26	KI	222	25,894,000	1166.40
LG	167	19,441,000	1164.13	27	IF	205	23,985,000	1170.00
KI	162	18,634,000	1150.25	28	FS	200	23,100,000	1155.00
TP	137	15,892,000	1160.00	29	YB	191	22,166,000	1160.52
AI	100	11,500,000	1150.00	30	DH	181	21,077,500	1164.50
HP	91	10,494,000	1153.19	31	TP	110	12,870,000	1170.00
DH	79	9,143,500	1157.41	32	IH	100	11,600,000	1160.00
FS	54	6,237,000	1155.00	33	GR	57	6,620,500	1161.49
DX	51	5,912,500	1159.31	34	LS	50	5,825,000	1165.00
SH	50	5,850,000	1170.00	35	SH	50	5,750,000	1150.00
AT	50	5,775,000	1155.00	36	YU	30	3,495,000	1165.00
PC	24	2,764,000	1151.67	37	AI	25	2,925,000	1170.00
ZR	20	2,300,000	1150.00	38	 	 	 	 
IF	18	2,070,000	1150.00	39	 	 	 	 
AG	10	1,160,000	1160.00	40	 	 	 	 
AO	3	347,000	1156.67	41	 	 	 	 
