BRISToBrokerCode	BRIS	Start	2025-11-28	End	2025-11-28	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
CC	14,001	3,291,756,000	2351.09	1	KZ	21,274	5,008,183,000	2354.13
XL	11,686	2,749,968,000	2353.22	2	YP	9,530	2,237,044,000	2347.37
XC	9,371	2,207,874,000	2356.07	3	LG	8,040	1,892,808,000	2354.24
YP	8,807	2,068,767,000	2349.00	4	XL	6,619	1,558,859,000	2355.13
SQ	7,467	1,760,502,000	2357.71	5	PD	5,872	1,381,566,000	2352.80
ZP	6,926	1,631,064,000	2354.99	6	BB	5,774	1,358,739,000	2353.20
OD	5,849	1,375,474,000	2351.64	7	YU	5,245	1,227,478,000	2340.28
PD	4,114	967,922,000	2352.75	8	AK	5,141	1,215,919,000	2365.14
EP	2,905	681,374,000	2345.52	9	CC	4,151	977,742,000	2355.44
GR	2,791	658,401,000	2359.01	10	XC	3,679	865,370,000	2352.19
NI	2,484	584,227,000	2351.96	11	GR	3,434	809,898,000	2358.47
KK	1,918	450,997,000	2351.39	12	NI	2,276	535,463,000	2352.65
AK	1,779	416,779,000	2342.77	13	SQ	1,931	455,072,000	2356.66
KZ	1,677	395,508,000	2358.43	14	DR	1,767	414,828,000	2347.64
ZR	1,350	317,200,000	2349.63	15	KK	1,533	360,299,000	2350.29
DR	1,332	314,128,000	2358.32	16	OD	1,477	346,737,000	2347.58
BQ	1,224	287,814,000	2351.42	17	LS	694	162,575,000	2342.58
PG	1,040	243,400,000	2340.38	18	HP	670	157,445,000	2349.93
YU	939	221,271,000	2356.45	19	RX	381	89,535,000	2350.00
LG	848	199,594,000	2353.70	20	AN	350	82,250,000	2350.00
AI	642	151,565,000	2360.83	21	AG	322	75,989,000	2359.91
DH	619	145,416,000	2349.21	22	EP	313	73,615,000	2351.92
DX	566	133,825,000	2364.40	23	DX	247	57,870,000	2342.91
AZ	310	73,139,000	2359.32	24	YB	228	53,552,000	2348.77
YB	290	68,098,000	2348.21	25	XA	204	48,104,000	2358.04
RS	213	49,842,000	2340.00	26	AZ	201	47,270,000	2351.74
AT	159	37,442,000	2354.84	27	RG	200	47,200,000	2360.00
KI	138	32,538,000	2357.83	28	AT	201	47,184,000	2347.46
PC	137	32,324,000	2359.42	29	DH	128	30,090,000	2350.78
PP	127	29,718,000	2340.00	30	BK	110	25,865,000	2351.36
HD	100	23,700,000	2370.00	31	IF	100	23,550,000	2355.00
LS	100	23,500,000	2350.00	32	BQ	66	15,554,000	2356.67
CD	87	20,445,000	2350.00	33	CP	60	14,115,000	2352.50
IF	69	16,250,000	2355.07	34	KI	51	12,036,000	2360.00
HP	65	15,330,000	2358.46	35	AI	34	7,960,000	2341.18
SH	65	15,275,000	2350.00	36	BR	26	6,154,000	2366.92
XA	40	9,389,000	2347.25	37	SH	10	2,350,000	2350.00
CP	36	8,460,000	2350.00	38	TP	10	2,350,000	2350.00
JB	30	7,035,000	2345.00	39	AO	9	2,106,000	2340.00
TP	20	4,720,000	2360.00	40	MG	7	1,645,000	2350.00
MI	17	3,978,000	2340.00	41	ZP	3	705,000	2350.00
MG	15	3,540,000	2360.00	42	YJ	2	472,000	2360.00
AG	8	1,880,000	2350.00	43	MU	1	236,000	2360.00
AO	5	1,175,000	2350.00	44	 	 	 	 
TF	3	706,000	2353.33	45	 	 	 	 
IN	1	236,000	2360.00	46	 	 	 	 
SF	1	236,000	2360.00	47	 	 	 	 
