BRISToBrokerCode	BRIS	Start	2025-11-19	End	2025-11-19	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
OD	13,857	3,415,000,000	2464.46	1	KZ	16,375	4,032,093,000	2462.35
XL	9,581	2,358,811,000	2461.97	2	AK	14,239	3,507,384,000	2463.22
CC	5,996	1,475,998,000	2461.64	3	CC	7,331	1,800,217,000	2455.62
KI	5,136	1,263,459,000	2460.01	4	OD	5,442	1,339,108,000	2460.69
NI	4,229	1,040,053,000	2459.34	5	XL	4,176	1,028,715,000	2463.40
SQ	4,166	1,025,089,000	2460.61	6	EP	3,631	894,679,000	2464.00
YP	4,158	1,023,122,000	2460.61	7	XC	3,027	744,982,000	2461.12
PD	3,315	815,061,000	2458.71	8	YU	2,524	620,911,000	2460.03
XC	3,242	798,584,000	2463.24	9	MI	2,500	615,000,000	2460.00
ZP	2,250	554,689,000	2465.28	10	NI	2,136	525,099,000	2458.33
AK	1,705	420,234,000	2464.72	11	PD	1,561	384,394,000	2462.49
KK	1,610	396,688,000	2463.90	12	YP	1,282	316,170,000	2466.22
DR	1,322	325,251,000	2460.30	13	ZP	1,014	249,716,000	2462.68
SF	1,202	295,693,000	2460.01	14	LG	975	240,050,000	2462.05
AG	1,120	274,420,000	2450.18	15	BB	735	181,248,000	2465.96
EP	1,051	258,456,000	2459.14	16	BQ	558	137,818,000	2469.86
AZ	1,013	249,198,000	2460.00	17	DX	440	108,240,000	2460.00
IF	1,006	247,477,000	2460.01	18	GR	375	92,494,000	2466.51
BQ	555	136,530,000	2460.00	19	SQ	283	69,660,000	2461.48
RO	500	123,000,000	2460.00	20	DH	212	52,269,000	2465.52
CP	468	115,125,000	2459.94	21	PC	200	49,200,000	2460.00
YU	435	107,040,000	2460.69	22	AZ	169	41,576,000	2460.12
GR	346	85,335,000	2466.33	23	AI	155	38,270,000	2469.03
LG	336	82,765,000	2463.24	24	KK	115	28,305,000	2461.30
DH	302	74,221,000	2457.65	25	AG	103	25,438,000	2469.71
DX	272	66,902,000	2459.63	26	IF	101	24,846,000	2460.00
AT	250	61,685,000	2467.40	27	MU	70	17,257,000	2465.29
XA	141	34,721,000	2462.48	28	DR	59	14,546,000	2465.42
PS	80	19,680,000	2460.00	29	HD	50	12,300,000	2460.00
HP	65	16,017,000	2464.15	30	AT	43	10,611,000	2467.67
YB	55	13,508,000	2456.00	31	CP	28	6,888,000	2460.00
BR	25	6,142,000	2456.80	32	SH	5	1,230,000	2460.00
CD	24	5,918,000	2465.83	33	GI	1	247,000	2470.00
JB	20	4,920,000	2460.00	34	XA	1	247,000	2470.00
AP	20	4,900,000	2450.00	35	 	 	 	 
TP	13	3,211,000	2470.00	36	 	 	 	 
ZR	10	2,470,000	2470.00	37	 	 	 	 
AO	10	2,460,000	2460.00	38	 	 	 	 
MG	10	2,460,000	2460.00	39	 	 	 	 
PC	5	1,230,000	2460.00	40	 	 	 	 
AN	5	1,230,000	2460.00	41	 	 	 	 
SH	5	1,225,000	2450.00	42	 	 	 	 
AI	3	738,000	2460.00	43	 	 	 	 
YJ	2	492,000	2460.00	44	 	 	 	 
