BRISToBrokerCode	BRIS	Start	2025-11-07	End	2025-11-07	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
BK	34,808	8,759,842,000	2516.62	1	CC	48,736	12,231,110,000	2509.67
ZP	32,938	8,277,741,000	2513.13	2	TP	20,130	5,062,760,000	2515.03
AK	26,407	6,645,169,000	2516.44	3	BK	18,929	4,769,273,000	2519.56
CC	14,190	3,563,500,000	2511.28	4	EP	10,968	2,762,678,000	2518.85
XL	10,264	2,577,576,000	2511.28	5	ZP	9,823	2,470,498,000	2515.01
YP	6,972	1,746,065,000	2504.40	6	YP	8,962	2,252,097,000	2512.94
NI	5,939	1,490,668,000	2509.96	7	XL	7,870	1,980,223,000	2516.17
XC	5,822	1,461,732,000	2510.70	8	SQ	5,911	1,485,530,000	2513.16
PC	3,069	773,294,000	2519.69	9	XC	5,040	1,267,914,000	2515.70
YU	3,017	760,272,000	2519.96	10	NI	4,789	1,202,611,000	2511.19
KK	2,473	620,929,000	2510.83	11	PD	4,754	1,193,367,000	2510.24
PD	2,409	604,664,000	2510.02	12	YU	3,872	972,307,000	2511.12
RX	2,181	547,431,000	2510.00	13	AK	3,790	951,672,000	2511.01
SQ	2,167	544,801,000	2514.08	14	OD	1,734	435,104,000	2509.25
OD	1,850	463,381,000	2504.76	15	AT	1,581	397,632,000	2515.07
DR	1,810	454,468,000	2510.87	16	XA	1,481	374,531,000	2528.91
CP	1,518	383,198,000	2524.36	17	DR	1,074	269,704,000	2511.21
DH	1,159	291,899,000	2518.54	18	KI	921	232,132,000	2520.43
BB	608	153,014,000	2516.68	19	KK	691	173,710,000	2513.89
EP	568	142,626,000	2511.02	20	LG	210	52,904,000	2519.24
LG	431	108,612,000	2520.00	21	PS	180	45,360,000	2520.00
AZ	272	68,539,000	2519.82	22	AZ	176	44,301,000	2517.10
AG	220	55,420,000	2519.09	23	DX	158	39,676,000	2511.14
AI	207	52,013,000	2512.71	24	CP	111	28,031,000	2525.32
MG	202	50,902,000	2519.90	25	BQ	109	27,419,000	2515.50
BQ	172	43,133,000	2507.73	26	SS	100	25,000,000	2500.00
GR	149	37,274,000	2501.61	27	YB	92	23,164,000	2517.83
AT	124	31,080,000	2506.45	28	AI	75	18,800,000	2506.67
DX	112	28,010,000	2500.89	29	DH	59	14,898,000	2525.08
IT	100	25,100,000	2510.00	30	RG	52	13,104,000	2520.00
IF	65	16,330,000	2512.31	31	PP	45	11,295,000	2510.00
XA	63	15,774,000	2503.81	32	MU	36	9,038,000	2510.56
KI	58	14,628,000	2522.07	33	IN	21	5,271,000	2510.00
TP	43	10,791,000	2509.53	34	GR	16	4,032,000	2520.00
HP	39	9,789,000	2510.00	35	JB	10	2,530,000	2530.00
ID	30	7,470,000	2490.00	36	AG	9	2,267,000	2518.89
YB	28	7,028,000	2510.00	37	HP	6	1,506,000	2510.00
AO	20	5,040,000	2520.00	38	PC	2	502,000	2510.00
LS	10	2,500,000	2500.00	39	ZR	1	252,000	2520.00
JB	10	2,500,000	2500.00	40	 	 	 	 
