BRISToBrokerCode	BRIS	Start	2025-11-04	End	2025-11-04	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
CC	25,432	6,443,299,000	2533.54	1	AZ	24,059	6,081,533,000	2527.76
XL	19,498	4,927,921,000	2527.40	2	CC	17,565	4,461,291,000	2539.88
YP	14,815	3,749,831,000	2531.10	3	PD	13,503	3,414,917,000	2529.01
XC	11,372	2,874,579,000	2527.77	4	YP	13,430	3,390,608,000	2524.65
OD	7,849	1,986,649,000	2531.09	5	BB	11,270	2,850,575,000	2529.35
PD	7,114	1,798,541,000	2528.17	6	OD	9,767	2,475,527,000	2534.58
YU	6,297	1,601,834,000	2543.80	7	KZ	9,298	2,353,991,000	2531.72
KI	5,703	1,452,559,000	2547.01	8	AK	7,872	1,997,036,000	2536.89
AK	5,038	1,276,167,000	2533.08	9	XL	5,854	1,486,722,000	2539.67
SQ	5,061	1,275,431,000	2520.12	10	YU	5,814	1,464,594,000	2519.08
PP	4,575	1,157,720,000	2530.54	11	AI	5,515	1,406,280,000	2549.92
NI	4,208	1,063,675,000	2527.74	12	TP	4,519	1,138,068,000	2518.41
AD	3,952	999,856,000	2530.00	13	XC	3,805	962,875,000	2530.55
BQ	3,817	966,259,000	2531.46	14	ZP	2,008	506,016,000	2520.00
BB	3,754	954,731,000	2543.24	15	NI	1,875	475,275,000	2534.80
KK	2,174	548,378,000	2522.44	16	SQ	1,106	279,867,000	2530.44
DH	1,961	495,212,000	2525.30	17	RO	900	226,400,000	2515.56
GR	1,559	393,894,000	2526.58	18	DR	762	192,706,000	2528.95
DX	1,423	359,612,000	2527.14	19	PP	488	122,488,000	2510.00
EP	1,309	330,219,000	2522.68	20	KK	439	112,174,000	2555.22
XA	880	223,008,000	2534.18	21	CP	425	107,935,000	2539.65
CP	741	187,552,000	2531.07	22	EP	422	107,081,000	2537.46
AT	592	149,399,000	2523.63	23	DX	421	105,671,000	2510.00
DR	534	134,931,000	2526.80	24	KI	179	45,426,000	2537.77
FS	500	126,500,000	2530.00	25	YB	175	43,975,000	2512.86
AZ	262	66,131,000	2524.08	26	LG	129	32,924,000	2552.25
LG	250	63,073,000	2522.92	27	RB	90	23,040,000	2560.00
BK	240	60,240,000	2510.00	28	PS	84	21,487,000	2557.98
PS	160	40,418,000	2526.13	29	RG	75	18,825,000	2510.00
TP	153	39,012,000	2549.80	30	XA	68	17,157,000	2523.09
HD	150	37,950,000	2530.00	31	GR	65	16,361,000	2517.08
YB	134	34,066,000	2542.24	32	MU	64	16,128,000	2520.00
AI	118	29,740,000	2520.34	33	AG	50	12,800,000	2560.00
CD	100	25,450,000	2545.00	34	BK	19	4,845,000	2550.00
MU	100	25,300,000	2530.00	35	AT	18	4,565,000	2536.11
RO	100	25,300,000	2530.00	36	LS	18	4,536,000	2520.00
HP	88	22,489,000	2555.57	37	JB	15	3,840,000	2560.00
SF	50	12,620,000	2524.00	38	YJ	15	3,777,000	2518.00
ZP	45	11,362,000	2524.89	39	BQ	8	2,038,000	2547.50
IF	40	10,110,000	2527.50	40	DH	7	1,786,000	2551.43
QA	21	5,297,000	2522.38	41	CD	7	1,757,000	2510.00
RG	12	3,034,000	2528.33	42	IF	6	1,518,000	2530.00
BR	12	3,024,000	2520.00	43	 	 	 	 
AG	7	1,770,000	2528.57	44	 	 	 	 
PC	7	1,764,000	2520.00	45	 	 	 	 
JB	1	254,000	2540.00	46	 	 	 	 
AO	1	254,000	2540.00	47	 	 	 	 
