BRISToBrokerCode	BRIS	Start	2025-11-25	End	2025-11-25	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
CC	24,502	5,833,874,000	2380.98	1	KZ	54,968	13,072,208,000	2378.15
XL	18,153	4,325,958,000	2383.05	2	CC	11,369	2,707,171,000	2381.19
AK	11,692	2,785,415,000	2382.33	3	XL	6,880	1,641,577,000	2386.01
YP	9,277	2,207,475,000	2379.51	4	YP	6,214	1,483,287,000	2387.01
OD	9,002	2,145,820,000	2383.71	5	XC	6,177	1,472,436,000	2383.74
XC	8,511	2,025,273,000	2379.59	6	GR	4,654	1,110,974,000	2387.14
SQ	7,064	1,684,023,000	2383.95	7	AK	4,269	1,021,322,000	2392.42
PD	5,550	1,319,327,000	2377.17	8	NI	3,340	794,050,000	2377.40
NI	3,406	811,967,000	2383.93	9	MG	3,224	770,536,000	2390.00
EP	2,041	485,800,000	2380.21	10	PD	2,568	611,919,000	2382.86
BQ	1,430	340,340,000	2380.00	11	SQ	2,061	492,033,000	2387.35
DH	1,389	330,861,000	2382.01	12	KK	1,439	342,520,000	2380.26
DX	1,283	305,556,000	2381.57	13	OD	1,097	261,601,000	2384.69
LG	1,108	264,117,000	2383.73	14	LS	1,000	239,000,000	2390.00
KI	1,090	259,322,000	2379.10	15	YU	761	181,949,000	2390.92
KK	1,009	239,965,000	2378.25	16	LG	650	154,877,000	2382.72
GR	869	207,524,000	2388.08	17	DX	443	105,341,000	2377.90
DR	755	180,496,000	2390.68	18	EP	335	79,692,000	2378.87
MG	508	120,402,000	2370.12	19	YB	249	59,130,000	2374.70
AT	494	117,668,000	2381.94	20	AZ	155	37,040,000	2389.68
MU	350	83,400,000	2382.86	21	XA	150	35,850,000	2390.00
PP	325	77,675,000	2390.00	22	AT	121	28,781,000	2378.60
YU	275	65,392,000	2377.89	23	MU	96	22,944,000	2390.00
YJ	272	64,996,000	2389.56	24	DH	72	17,260,000	2397.22
ZP	254	60,419,000	2378.70	25	AI	62	14,818,000	2390.00
XA	244	58,051,000	2379.14	26	BQ	62	14,795,000	2386.29
YB	241	57,169,000	2372.16	27	DR	57	13,615,000	2388.60
RG	203	48,311,000	2379.85	28	TP	35	8,365,000	2390.00
HD	200	47,800,000	2390.00	29	HP	27	6,430,000	2381.48
AO	200	47,700,000	2385.00	30	ZP	19	4,535,000	2386.84
CP	162	38,545,000	2379.32	31	KI	13	3,104,000	2387.69
AI	158	37,762,000	2390.00	32	BK	1	239,000	2390.00
TP	141	33,497,000	2375.67	33	PC	1	239,000	2390.00
AZ	117	27,832,000	2378.80	34	 	 	 	 
CD	70	16,660,000	2380.00	35	 	 	 	 
HP	42	10,027,000	2387.38	36	 	 	 	 
PS	40	9,508,000	2377.00	37	 	 	 	 
PG	40	9,480,000	2370.00	38	 	 	 	 
IF	32	7,587,000	2370.94	39	 	 	 	 
MI	16	3,792,000	2370.00	40	 	 	 	 
AG	11	2,619,000	2380.91	41	 	 	 	 
EL	10	2,385,000	2385.00	42	 	 	 	 
LS	10	2,370,000	2370.00	43	 	 	 	 
PC	8	1,905,000	2381.25	44	 	 	 	 
RO	5	1,190,000	2380.00	45	 	 	 	 
BR	3	717,000	2390.00	46	 	 	 	 
QA	3	714,000	2380.00	47	 	 	 	 
SF	3	713,000	2376.67	48	 	 	 	 
DU	1	239,000	2390.00	49	 	 	 	 
