BRISToBrokerCode	BRIS	Start	2025-12-10	End	2025-12-10	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
AK	36,788	8,330,744,000	2264.53	1	ZP	89,535	20,192,688,000	2255.28
CC	29,397	6,648,063,000	2261.48	2	CC	28,761	6,504,766,000	2261.66
XL	18,415	4,151,675,000	2254.51	3	YP	9,410	2,122,767,000	2255.86
YU	18,187	4,108,976,000	2259.29	4	XL	9,362	2,117,471,000	2261.77
SQ	16,601	3,736,056,000	2250.50	5	YU	6,558	1,479,716,000	2256.35
PD	7,381	1,661,792,000	2251.45	6	AK	6,060	1,375,744,000	2270.20
YP	6,508	1,468,243,000	2256.06	7	KK	5,828	1,317,654,000	2260.90
XC	5,632	1,268,609,000	2252.50	8	XC	5,467	1,234,567,000	2258.22
OD	5,565	1,258,454,000	2261.37	9	PD	4,085	921,552,000	2255.94
ZP	5,146	1,162,131,000	2258.32	10	NI	2,245	505,836,000	2253.17
DR	4,874	1,095,373,000	2247.38	11	OD	1,858	419,349,000	2256.99
NI	4,556	1,027,464,000	2255.19	12	SQ	1,810	411,306,000	2272.41
KZ	4,381	989,585,000	2258.81	13	DR	1,109	252,290,000	2274.93
EP	2,684	604,753,000	2253.18	14	DX	1,000	226,000,000	2260.00
BB	2,541	573,122,000	2255.50	15	BK	1,000	225,317,000	2253.17
KK	1,512	341,192,000	2256.56	16	DH	867	195,523,000	2255.17
GR	1,221	275,036,000	2252.55	17	HP	850	192,650,000	2266.47
CP	1,142	258,036,000	2259.51	18	EP	406	91,549,000	2254.90
DH	954	214,953,000	2253.18	19	HD	300	67,500,000	2250.00
DX	937	210,275,000	2244.13	20	YJ	213	48,163,000	2261.17
FS	800	180,000,000	2250.00	21	CP	175	39,724,000	2269.94
KI	469	105,752,000	2254.84	22	LG	174	39,480,000	2268.97
HD	350	79,700,000	2277.14	23	GR	170	38,609,000	2271.12
AT	346	77,926,000	2252.20	24	ZR	150	34,000,000	2266.67
AI	274	61,778,000	2254.67	25	AT	138	31,018,000	2247.68
BQ	266	59,961,000	2254.17	26	ID	100	22,850,000	2285.00
LG	209	46,964,000	2247.08	27	BQ	67	15,090,000	2252.24
XA	189	42,922,000	2271.01	28	AI	53	12,029,000	2269.62
YB	129	29,120,000	2257.36	29	TP	51	11,525,000	2259.80
YJ	127	28,365,000	2233.46	30	SH	50	11,300,000	2260.00
AZ	99	22,269,000	2249.39	31	AO	46	10,420,000	2265.22
HP	79	17,862,000	2261.01	32	KI	28	6,327,000	2259.64
TP	67	15,097,000	2253.28	33	YB	26	5,886,000	2263.85
ZR	50	11,275,000	2255.00	34	IF	25	5,650,000	2260.00
PC	43	9,675,000	2250.00	35	BR	20	4,500,000	2250.00
CD	42	9,484,000	2258.10	36	AZ	15	3,383,000	2255.33
JB	26	5,900,000	2269.23	37	AG	13	2,926,000	2250.77
AG	26	5,854,000	2251.54	38	CD	12	2,700,000	2250.00
IF	12	2,699,000	2249.17	39	XA	11	2,486,000	2260.00
MG	11	2,480,000	2254.55	40	MG	10	2,260,000	2260.00
LS	10	2,250,000	2250.00	41	PC	1	229,000	2290.00
AO	5	1,125,000	2250.00	42	LS	1	225,000	2250.00
TF	4	907,000	2267.50	43	 	 	 	 
IN	3	675,000	2250.00	44	 	 	 	 
SF	2	453,000	2265.00	45	 	 	 	 
