BRISToBrokerCode	BRIS	Start	2025-12-16	End	2025-12-16	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XC	47,153	10,732,667,000	2276.14	1	ZP	49,144	11,104,767,000	2259.64
XL	37,992	8,613,790,000	2267.26	2	AK	44,272	10,116,448,000	2285.07
AK	37,832	8,554,212,000	2261.10	3	CC	34,574	7,892,114,000	2282.67
CC	36,423	8,228,218,000	2259.07	4	XL	33,212	7,517,994,000	2263.64
KZ	31,000	7,112,229,000	2294.27	5	XC	28,393	6,388,414,000	2250.00
YP	23,026	5,239,565,000	2275.50	6	MG	25,800	5,823,664,000	2257.23
ZP	22,460	5,059,326,000	2252.59	7	SQ	22,697	5,194,994,000	2288.85
NI	18,861	4,289,458,000	2274.25	8	BK	17,467	3,945,380,000	2258.76
PD	15,003	3,383,617,000	2255.29	9	NI	13,773	3,118,913,000	2264.51
OD	9,529	2,141,938,000	2247.81	10	PD	9,297	2,099,552,000	2258.31
SQ	8,953	2,021,058,000	2257.41	11	YP	9,041	2,052,069,000	2269.74
DR	4,683	1,068,850,000	2282.40	12	BB	5,848	1,314,105,000	2247.10
KK	4,677	1,057,189,000	2260.40	13	KZ	3,500	781,177,000	2231.93
YU	4,168	937,439,000	2249.13	14	AT	3,445	778,833,000	2260.76
BK	2,927	671,345,000	2293.63	15	CP	2,876	656,253,000	2281.83
DH	2,621	589,667,000	2249.78	16	KK	2,642	602,806,000	2281.63
BQ	2,043	463,811,000	2270.24	17	OD	2,270	512,601,000	2258.15
GR	1,610	362,288,000	2250.24	18	DR	1,627	365,857,000	2248.66
EP	1,297	295,297,000	2276.77	19	LG	1,594	364,657,000	2287.69
AI	1,139	257,142,000	2257.61	20	AI	1,024	231,448,000	2260.23
CP	1,068	242,472,000	2270.34	21	BQ	944	216,443,000	2292.83
IF	1,032	233,954,000	2267.00	22	GR	854	192,676,000	2256.16
AT	1,025	232,491,000	2268.20	23	DH	797	181,250,000	2274.15
AZ	731	167,013,000	2284.72	24	EP	798	179,461,000	2248.88
YB	705	160,281,000	2273.49	25	FZ	700	162,300,000	2318.57
XA	712	159,919,000	2246.05	26	DP	546	122,304,000	2240.00
DX	509	116,655,000	2291.85	27	XA	527	122,142,000	2317.69
KI	418	94,301,000	2256.00	28	YU	516	118,936,000	2304.96
BR	405	91,530,000	2260.00	29	IU	500	115,600,000	2312.00
YJ	392	89,900,000	2293.37	30	YB	441	100,127,000	2270.45
MU	274	62,741,000	2289.82	31	PC	416	95,444,000	2294.33
LG	232	52,851,000	2278.06	32	BR	400	91,600,000	2290.00
TP	108	24,302,000	2250.19	33	TP	346	79,924,000	2309.94
RB	100	22,550,000	2255.00	34	DX	268	60,886,000	2271.87
CD	92	20,982,000	2280.65	35	AZ	228	52,387,000	2297.68
AG	62	14,078,000	2270.65	36	HP	179	41,242,000	2304.02
MG	45	10,385,000	2307.78	37	HD	129	29,654,000	2298.76
HP	41	9,222,000	2249.27	38	SF	100	22,500,000	2250.00
MI	35	7,821,000	2234.57	39	KI	97	22,407,000	2310.00
ZR	30	6,870,000	2290.00	40	AG	90	20,700,000	2300.00
PC	14	3,160,000	2257.14	41	RG	60	13,680,000	2280.00
GI	14	3,150,000	2250.00	42	IF	16	3,640,000	2275.00
LS	10	2,250,000	2250.00	43	YJ	15	3,330,000	2220.00
SF	4	901,000	2252.50	44	SH	2	448,000	2240.00
TF	4	900,000	2250.00	45	 	 	 	 
IC	3	666,000	2220.00	46	 	 	 	 
SH	2	454,000	2270.00	47	 	 	 	 
AO	1	222,000	2220.00	48	 	 	 	 
