BRISToBrokerCode	BRIS	Start	2025-12-04	End	2025-12-04	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
CC	51,831	12,177,304,000	2349.42	1	BB	27,568	6,442,916,000	2337.10
SQ	8,639	2,025,148,000	2344.19	2	ZP	17,539	4,119,390,000	2348.70
XL	7,766	1,819,541,000	2342.96	3	YP	9,095	2,143,738,000	2357.05
YP	7,393	1,731,984,000	2342.74	4	XL	7,814	1,836,832,000	2350.69
ZP	4,596	1,077,755,000	2344.98	5	NI	5,986	1,405,089,000	2347.29
OD	4,559	1,073,995,000	2355.77	6	BK	5,428	1,273,990,000	2347.07
XC	3,837	898,224,000	2340.95	7	FS	5,000	1,175,000,000	2350.00
PD	3,573	836,843,000	2342.13	8	AK	3,973	935,244,000	2354.00
AK	3,090	726,418,000	2350.87	9	YU	3,795	893,940,000	2355.57
NI	2,219	519,010,000	2338.94	10	CC	3,655	857,818,000	2346.97
BR	2,010	472,340,000	2349.95	11	DR	3,146	742,414,000	2359.87
EP	1,192	279,837,000	2347.63	12	GR	2,700	631,850,000	2340.19
KK	1,189	278,939,000	2346.00	13	XC	2,345	550,323,000	2346.79
LG	950	224,269,000	2360.73	14	LG	1,570	368,139,000	2344.83
MU	725	169,250,000	2334.48	15	SQ	1,526	359,600,000	2356.49
AZ	605	143,306,000	2368.69	16	PD	1,281	301,019,000	2349.88
AI	600	140,400,000	2340.00	17	DH	1,081	255,017,000	2359.08
YU	554	129,910,000	2344.95	18	AG	1,050	247,650,000	2358.57
DR	401	93,972,000	2343.44	19	AI	1,002	234,468,000	2340.00
BQ	368	86,771,000	2357.91	20	EP	544	128,099,000	2354.76
DH	364	85,064,000	2336.92	21	XA	450	106,600,000	2368.89
ZR	200	46,900,000	2345.00	22	OD	288	67,528,000	2344.72
GR	170	39,865,000	2345.00	23	CP	254	59,790,000	2353.94
AT	163	38,177,000	2342.15	24	AT	165	38,840,000	2353.94
YB	138	32,329,000	2342.68	25	YJ	136	31,824,000	2340.00
DX	125	29,291,000	2343.28	26	KK	110	25,884,000	2353.09
KI	116	27,045,000	2331.47	27	TP	106	25,004,000	2358.87
BK	102	23,766,000	2330.00	28	HD	100	23,600,000	2360.00
FS	100	23,400,000	2340.00	29	DX	100	23,600,000	2360.00
XA	91	21,299,000	2340.55	30	YB	68	16,017,000	2355.44
LS	70	16,460,000	2351.43	31	JB	60	14,170,000	2361.67
AF	50	11,750,000	2350.00	32	AZ	56	13,111,000	2341.25
GI	50	11,750,000	2350.00	33	HP	40	9,410,000	2352.50
CD	50	11,650,000	2330.00	34	SH	15	3,540,000	2360.00
CP	37	8,640,000	2335.14	35	PC	11	2,586,000	2350.91
PG	35	8,215,000	2347.14	36	MG	10	2,360,000	2360.00
PC	26	6,082,000	2339.23	37	KI	10	2,347,000	2347.00
AG	25	5,875,000	2350.00	38	AO	8	1,880,000	2350.00
TP	19	4,454,000	2344.21	39	RG	8	1,880,000	2350.00
YJ	18	4,216,000	2342.22	40	CD	2	472,000	2360.00
SH	15	3,510,000	2340.00	41	AH	1	235,000	2350.00
HP	11	2,607,000	2370.00	42	 	 	 	 
AO	10	2,360,000	2360.00	43	 	 	 	 
MG	7	1,645,000	2350.00	44	 	 	 	 
IF	5	1,181,000	2362.00	45	 	 	 	 
TF	2	467,000	2335.00	46	 	 	 	 
