BBTNToBrokerCode	BBTN	Start	2025-11-21	End	2025-11-21	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
CP	56,221	6,692,576,000	1190.41	1	ZP	85,780	10,191,152,500	1188.06
YP	49,179	5,837,195,000	1186.93	2	CC	37,077	4,416,799,000	1191.25
CC	42,485	5,053,488,000	1189.48	3	KZ	25,690	3,048,735,500	1186.74
XL	28,808	3,428,975,500	1190.29	4	BK	24,445	2,921,922,500	1195.30
KK	13,684	1,629,248,000	1190.62	5	YU	16,308	1,942,207,000	1190.95
PD	12,733	1,514,893,500	1189.74	6	XL	12,753	1,510,175,500	1184.17
XC	10,657	1,269,207,000	1190.96	7	CP	11,722	1,396,523,500	1191.37
AZ	10,230	1,227,336,500	1199.74	8	YP	10,734	1,279,708,500	1192.20
OD	9,342	1,110,213,500	1188.41	9	AK	8,895	1,062,233,000	1194.19
SQ	6,670	791,420,500	1186.54	10	GR	5,670	672,195,000	1185.53
GR	5,584	662,752,500	1186.88	11	AO	5,500	655,000,000	1190.91
NI	4,787	569,062,500	1188.77	12	KK	4,953	587,006,500	1185.15
ZP	2,772	329,493,000	1188.65	13	NI	4,551	541,260,000	1189.32
AK	2,251	266,743,500	1185.00	14	PD	4,501	535,967,500	1190.77
DX	2,050	243,121,500	1185.96	15	XC	4,394	522,175,500	1188.38
BK	1,749	208,612,500	1192.75	16	EP	2,343	279,040,000	1190.95
DH	1,736	205,887,000	1185.99	17	AZ	1,735	205,600,000	1185.01
AO	1,200	142,200,000	1185.00	18	AI	1,500	179,250,000	1195.00
KI	1,169	140,112,500	1198.57	19	DH	1,099	131,285,500	1194.59
YB	1,157	138,583,000	1197.78	20	AG	905	107,695,000	1190.00
DR	1,158	137,838,500	1190.32	21	YB	647	76,787,000	1186.82
AI	1,010	120,180,000	1189.90	22	DR	445	53,135,000	1194.04
IT	1,000	118,500,000	1185.00	23	SQ	386	45,830,000	1187.31
YU	976	116,240,000	1190.98	24	OD	272	32,492,000	1194.56
EP	886	105,521,000	1190.98	25	LG	271	32,320,500	1192.64
RS	700	83,400,000	1191.43	26	TP	200	24,000,000	1200.00
FZ	500	59,750,000	1195.00	27	HD	166	19,787,500	1192.02
XA	463	55,084,500	1189.73	28	XA	107	12,682,500	1185.28
HP	321	38,159,000	1188.75	29	YJ	105	12,551,500	1195.38
YJ	304	36,275,000	1193.26	30	AT	71	8,431,500	1187.54
HD	290	34,530,000	1190.69	31	JB	60	7,110,000	1185.00
TP	233	27,692,000	1188.50	32	HP	15	1,777,500	1185.00
LG	230	27,431,500	1192.67	33	CD	2	237,000	1185.00
PS	205	24,392,500	1189.88	34	IF	1	119,500	1195.00
BQ	184	22,018,000	1196.63	35	DX	1	118,500	1185.00
LS	110	13,045,000	1185.91	36	 	 	 	 
IF	101	11,968,500	1185.00	37	 	 	 	 
RB	85	10,157,500	1195.00	38	 	 	 	 
MI	60	7,155,000	1192.50	39	 	 	 	 
MG	19	2,258,500	1188.68	40	 	 	 	 
PC	2	238,000	1190.00	41	 	 	 	 
AT	2	236,000	1180.00	42	 	 	 	 
CD	1	120,000	1200.00	43	 	 	 	 
