BBTNToBrokerCode	BBTN	Start	2026-01-07	End	2026-01-07	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
AK	42,326	4,972,058,500	1174.71	1	ZP	41,628	4,876,934,500	1171.55
PD	40,350	4,790,542,500	1187.25	2	KK	23,809	2,828,792,500	1188.12
BK	30,075	3,537,990,500	1176.39	3	YP	23,550	2,780,620,500	1180.73
YP	25,145	2,946,841,500	1171.94	4	CC	23,278	2,735,644,500	1175.21
BQ	11,609	1,362,024,000	1173.25	5	KZ	19,571	2,289,979,500	1170.09
CC	11,232	1,323,066,500	1177.94	6	PD	15,580	1,824,361,500	1170.96
XL	11,135	1,307,136,000	1173.90	7	XL	15,341	1,803,759,500	1175.78
AI	10,104	1,182,169,000	1170.00	8	SQ	13,465	1,583,532,500	1176.04
KK	9,441	1,108,969,000	1174.63	9	XC	12,342	1,449,474,500	1174.42
DR	7,549	888,243,000	1176.64	10	DR	8,977	1,057,530,500	1178.04
YB	7,343	864,918,000	1177.88	11	XA	7,308	866,008,000	1185.01
ZP	6,625	781,824,000	1180.11	12	NI	6,781	802,603,500	1183.61
DX	5,286	620,874,500	1174.56	13	LG	6,165	722,609,500	1172.12
NI	3,606	423,457,000	1174.31	14	AK	6,079	717,036,500	1179.53
XC	3,087	362,111,000	1173.02	15	CP	5,911	696,812,500	1178.84
FZ	3,000	355,500,000	1185.00	16	DX	4,053	476,766,000	1176.33
SQ	2,636	308,022,500	1168.52	17	OD	3,243	382,937,000	1180.81
EP	2,530	298,644,500	1180.41	18	BQ	2,218	263,834,500	1189.52
KI	2,310	270,317,500	1170.21	19	EP	1,588	186,139,000	1172.16
AZ	2,150	252,615,000	1174.95	20	HP	1,492	175,260,500	1174.67
YU	2,110	246,820,000	1169.76	21	IF	1,172	138,678,500	1183.26
OD	1,953	229,141,500	1173.28	22	KI	1,034	121,276,000	1172.88
PP	1,748	203,642,000	1165.00	23	BS	1,000	117,000,000	1170.00
TP	1,571	184,279,500	1173.01	24	RG	1,000	117,000,000	1170.00
GR	1,312	153,994,000	1173.73	25	GR	978	115,015,000	1176.02
CP	1,250	146,771,500	1174.17	26	AT	659	78,328,000	1188.59
HP	619	72,743,500	1175.18	27	HD	545	64,421,000	1182.04
LG	610	71,672,000	1174.95	28	BK	460	53,977,500	1173.42
LS	608	71,333,000	1173.24	29	YU	370	43,790,000	1183.51
DH	515	60,524,000	1175.22	30	YJ	335	39,660,000	1183.88
ES	400	47,200,000	1180.00	31	DH	331	38,996,000	1178.13
AT	277	32,501,000	1173.32	32	ES	301	35,067,500	1165.03
HD	225	26,394,500	1173.09	33	BR	216	25,380,000	1175.00
AG	100	11,800,000	1180.00	34	AG	170	19,965,000	1174.41
SF	100	11,750,000	1175.00	35	AZ	141	16,651,000	1180.92
IF	93	10,872,500	1169.09	36	YB	100	11,749,500	1174.95
YJ	88	10,340,000	1175.00	37	LS	36	4,245,500	1179.31
XA	60	7,030,000	1171.67	38	MG	20	2,360,000	1180.00
SH	50	5,875,000	1175.00	39	TP	17	2,000,000	1176.47
ZR	50	5,850,000	1170.00	40	RS	7	829,500	1185.00
MG	10	1,170,000	1170.00	41	PC	6	706,500	1177.50
TF	1	116,500	1165.00	42	FS	5	590,000	1180.00
 	 	 	 	43	MU	3	354,000	1180.00
 	 	 	 	44	QA	3	351,000	1170.00
 	 	 	 	45	SH	1	116,500	1165.00
