ANTMToBrokerCode	ANTM	Start	2025-11-12	End	2025-11-12	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
BB	97,844	28,235,203,000	2885.74	1	ZP	133,151	38,439,496,000	2886.91
CC	89,186	25,780,124,000	2890.60	2	AK	85,746	24,735,536,000	2884.75
XL	82,189	23,718,188,000	2885.81	3	XC	81,583	23,492,138,200	2879.54
YP	69,724	20,114,257,000	2884.84	4	YP	64,390	18,591,886,000	2887.39
XC	64,023	18,472,844,200	2885.34	5	CC	51,896	14,984,948,000	2887.50
AK	28,950	8,372,313,000	2891.99	6	XL	44,457	12,833,667,000	2886.76
DR	25,635	7,390,746,000	2883.07	7	PD	37,428	10,811,088,000	2888.50
PD	25,598	7,382,094,000	2883.86	8	SQ	30,998	8,941,301,000	2884.48
AF	20,100	5,788,900,000	2880.05	9	HP	25,367	7,335,826,000	2891.88
BK	19,663	5,668,823,560	2882.98	10	CP	24,014	6,928,249,000	2885.09
SQ	19,166	5,528,029,000	2884.29	11	IH	20,000	5,760,000,000	2880.00
KK	18,837	5,415,955,000	2875.17	12	BK	14,369	4,139,690,560	2880.98
MG	16,103	4,648,624,000	2886.81	13	KZ	13,461	3,880,485,000	2882.76
OD	15,042	4,336,464,000	2882.90	14	YO	13,137	3,791,336,000	2886.00
KZ	15,000	4,335,989,000	2890.66	15	AO	12,239	3,534,652,000	2888.02
NI	14,342	4,138,085,000	2885.29	16	AG	10,913	3,151,115,000	2887.49
YU	13,987	4,018,808,000	2873.25	17	NI	10,081	2,908,324,000	2884.96
CP	11,824	3,409,201,000	2883.29	18	OD	8,518	2,461,584,000	2889.86
KI	10,274	2,965,168,000	2886.09	19	DR	6,173	1,781,573,000	2886.07
GR	7,581	2,186,985,000	2884.82	20	GR	5,633	1,626,002,000	2886.56
BQ	7,231	2,088,929,000	2888.85	21	KK	5,360	1,544,971,000	2882.41
EP	6,531	1,883,928,000	2884.59	22	YU	4,691	1,354,073,000	2886.53
ZP	6,005	1,738,071,000	2894.37	23	KI	3,729	1,082,683,000	2903.41
AG	5,400	1,559,918,000	2888.74	24	LG	3,436	995,809,000	2898.16
IF	5,299	1,526,193,000	2880.15	25	DX	2,789	804,248,000	2883.64
IT	4,550	1,318,900,000	2898.68	26	MG	2,787	803,211,000	2881.99
AO	4,197	1,206,981,000	2875.82	27	DH	2,308	664,535,000	2879.27
YJ	3,145	907,781,000	2886.43	28	YJ	1,910	550,006,000	2879.61
LG	2,437	704,329,000	2890.15	29	EP	1,593	459,846,000	2886.67
ZR	2,100	607,100,000	2890.95	30	CD	1,181	340,243,000	2880.97
AI	1,911	550,493,000	2880.65	31	YB	1,025	295,682,000	2884.70
HD	1,502	432,652,000	2880.51	32	BQ	989	285,643,000	2888.20
AZ	1,443	415,992,000	2882.83	33	AI	929	268,082,000	2885.71
HP	1,435	413,373,000	2880.65	34	LS	461	132,907,000	2883.02
LS	1,415	410,078,000	2898.08	35	AT	444	128,251,000	2888.54
AT	1,324	382,120,000	2886.10	36	XA	437	126,011,000	2883.55
DH	1,324	381,577,000	2882.00	37	AZ	424	122,498,000	2889.10
TP	1,293	373,072,000	2885.32	38	HD	304	87,746,000	2886.38
YB	1,230	355,015,000	2886.30	39	ES	250	72,000,000	2880.00
DX	921	265,266,000	2880.20	40	TP	240	69,479,000	2894.96
XA	596	171,876,000	2883.83	41	AF	214	62,060,000	2900.00
PS	500	144,000,000	2880.00	42	AR	70	20,090,000	2870.00
FZ	310	89,800,000	2896.77	43	RO	27	7,786,000	2883.70
AN	300	86,400,000	2880.00	44	GI	20	5,800,000	2900.00
ES	275	79,429,000	2888.33	45	IF	17	4,921,000	2894.71
CD	253	73,311,000	2897.67	46	JB	10	2,890,000	2890.00
RS	220	63,360,000	2880.00	47	BB	6	1,728,000	2880.00
RO	192	55,303,000	2880.36	48	FZ	5	1,455,000	2910.00
RG	130	37,435,000	2879.62	49	BR	2	582,000	2910.00
MU	120	34,560,000	2880.00	50	SF	1	291,000	2910.00
FS	119	34,440,000	2894.12	51	 	 	 	 
BR	100	28,800,000	2880.00	52	 	 	 	 
SS	85	24,565,000	2890.00	53	 	 	 	 
PO	50	14,350,000	2870.00	54	 	 	 	 
PP	44	12,672,000	2880.00	55	 	 	 	 
JB	42	12,056,000	2870.48	56	 	 	 	 
IN	32	9,276,000	2898.75	57	 	 	 	 
PC	27	7,761,000	2874.44	58	 	 	 	 
ID	20	5,780,000	2890.00	59	 	 	 	 
IU	15	4,335,000	2890.00	60	 	 	 	 
SA	10	2,890,000	2890.00	61	 	 	 	 
TF	10	2,880,000	2880.00	62	 	 	 	 
SF	2	576,000	2880.00	63	 	 	 	 
