ANTMToBrokerCode	ANTM	Start	2025-11-17	End	2025-11-17	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
CC	353,699	108,109,759,000	3056.55	1	CC	376,366	115,209,190,000	3061.09
YP	237,756	72,784,391,000	3061.31	2	XL	310,636	95,007,353,000	3058.48
XL	226,893	69,020,227,000	3041.97	3	AK	265,160	80,234,700,000	3025.90
YU	202,473	61,295,366,000	3027.34	4	YP	247,608	75,744,806,000	3059.06
PD	174,601	53,591,776,000	3069.39	5	ZP	142,457	43,627,195,600	3062.47
BK	119,903	37,152,701,000	3098.56	6	PD	121,885	37,383,902,000	3067.15
XC	95,674	29,257,839,000	3058.08	7	XC	110,919	33,959,955,000	3061.69
CP	94,610	29,121,510,000	3078.06	8	CP	108,948	33,312,400,000	3057.64
AZ	94,145	28,846,133,000	3064.01	9	BK	87,863	26,860,378,000	3057.07
KZ	74,166	22,851,285,000	3081.10	10	EP	82,241	25,052,456,000	3046.22
EP	71,480	22,020,504,000	3080.65	11	SQ	75,515	23,210,985,000	3073.69
NI	64,311	19,689,587,000	3061.62	12	MG	64,220	19,657,632,000	3060.98
SQ	61,922	18,711,515,000	3021.79	13	OD	58,158	17,764,330,000	3054.49
KK	59,979	18,282,693,000	3048.18	14	KK	51,716	15,972,803,000	3088.56
MG	55,141	17,033,793,000	3089.13	15	YU	45,167	13,813,264,000	3058.26
GR	55,272	16,901,325,000	3057.85	16	NI	40,218	12,293,279,000	3056.66
DR	49,360	15,098,300,000	3058.81	17	AZ	39,523	12,080,552,000	3056.59
YB	46,439	14,218,047,000	3061.66	18	GR	36,406	11,168,431,000	3067.74
BB	45,549	13,893,096,000	3050.14	19	AT	32,300	9,855,961,000	3051.38
LG	45,856	13,890,662,000	3029.19	20	DR	30,517	9,300,849,000	3047.76
AG	44,035	13,368,763,000	3035.94	21	AG	29,427	8,987,189,000	3054.06
ZP	42,527	13,128,713,600	3087.10	22	BQ	27,388	8,363,867,000	3053.84
AT	34,829	10,595,619,000	3042.18	23	HD	26,930	8,296,467,000	3080.75
OD	31,224	9,498,874,000	3042.17	24	YJ	23,190	7,113,084,000	3067.31
HD	28,567	8,804,083,000	3081.91	25	KI	14,808	4,476,149,000	3022.79
AK	23,428	7,120,086,000	3039.14	26	YB	11,810	3,614,920,000	3060.90
IF	19,883	6,155,894,000	3096.06	27	AI	10,083	3,083,639,000	3058.26
DX	18,876	5,666,487,000	3001.95	28	LG	9,920	3,038,187,000	3062.69
AI	18,283	5,551,595,000	3036.48	29	DX	9,325	2,860,394,000	3067.45
BQ	16,173	4,905,355,000	3033.05	30	ZR	9,356	2,851,739,000	3048.03
TP	14,503	4,428,709,000	3053.65	31	DH	9,282	2,851,149,000	3071.70
KI	9,163	2,752,806,000	3004.26	32	TP	8,290	2,541,278,000	3065.47
ZR	8,460	2,579,380,000	3048.91	33	BR	7,422	2,292,698,000	3089.06
YJ	7,971	2,397,321,000	3007.55	34	XA	6,370	1,972,434,000	3096.44
PG	5,000	1,499,833,000	2999.67	35	QA	5,279	1,579,332,000	2991.73
XA	4,634	1,415,535,000	3054.67	36	PF	5,005	1,536,495,000	3069.92
LS	4,050	1,236,480,000	3053.04	37	PG	5,000	1,509,202,000	3018.40
BR	3,689	1,125,150,000	3050.01	38	RX	4,530	1,359,006,000	3000.01
DH	3,622	1,089,676,000	3008.49	39	RO	4,274	1,327,834,000	3106.77
HP	2,869	862,514,000	3006.32	40	IT	2,800	867,900,000	3099.64
RO	2,194	660,072,000	3008.53	41	KZ	2,659	826,914,000	3109.87
IH	2,002	602,624,000	3010.11	42	HP	2,592	793,573,000	3061.62
MI	1,000	312,000,000	3120.00	43	CD	2,395	737,811,000	3080.63
QA	827	258,763,000	3128.94	44	AO	2,387	734,033,000	3075.13
RF	839	250,222,000	2982.38	45	LS	2,159	663,870,000	3074.90
AO	737	222,254,000	3015.66	46	IH	2,000	594,000,000	2970.00
PC	352	106,020,000	3011.93	47	IU	1,120	337,840,000	3016.43
SF	311	95,785,000	3079.90	48	AF	900	279,800,000	3108.89
FZ	300	89,600,000	2986.67	49	ES	699	210,969,000	3018.15
FS	278	86,076,000	3096.26	50	SH	660	202,830,000	3073.18
IU	220	67,440,000	3065.45	51	MI	600	186,000,000	3100.00
CD	217	65,312,000	3009.77	52	FZ	610	184,885,000	3030.90
RS	100	31,000,000	3100.00	53	ID	600	181,800,000	3030.00
SA	92	27,753,000	3016.63	54	PC	510	158,075,000	3099.51
JB	42	12,821,000	3052.62	55	SS	500	154,000,000	3080.00
TF	42	12,556,000	2989.52	56	IF	491	151,154,000	3078.49
SH	32	9,888,000	3090.00	57	SF	443	138,308,000	3122.08
PO	30	9,210,000	3070.00	58	PO	419	126,150,000	3010.74
ES	30	8,990,000	2996.67	59	RG	317	98,333,000	3101.99
ID	20	5,960,000	2980.00	60	SA	62	18,980,000	3061.29
GI	5	1,525,000	3050.00	61	OK	60	18,540,000	3090.00
RG	5	1,485,000	2970.00	62	BS	50	15,450,000	3090.00
RB	1	298,000	2980.00	63	RB	30	9,325,000	3108.33
 	 	 	 	64	JB	30	9,040,000	3013.33
 	 	 	 	65	IP	30	8,910,000	2970.00
 	 	 	 	66	TF	22	6,732,000	3060.00
 	 	 	 	67	FS	20	6,120,000	3060.00
 	 	 	 	68	AN	10	2,990,000	2990.00
 	 	 	 	69	DD	4	1,220,000	3050.00
