INETToBrokerCode	INET	Start	2025-12-24	End	2025-12-24	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	3,083,567	242,424,664,500	786.18	1	XL	2,229,973	174,070,875,500	780.60
YP	901,411	71,070,934,500	788.44	2	YP	1,139,780	90,064,147,000	790.19
CC	901,258	71,063,605,000	788.49	3	MG	1,058,889	84,723,002,000	800.11
MG	635,304	50,129,605,000	789.06	4	CP	642,543	50,524,297,000	786.32
CP	469,474	36,598,636,500	779.57	5	AK	519,057	40,873,556,000	787.46
XC	391,982	30,861,521,000	787.32	6	CC	467,361	36,680,994,000	784.85
PD	368,650	29,098,943,000	789.34	7	PD	340,587	26,772,541,500	786.07
NI	302,770	23,641,737,500	780.85	8	XC	253,073	19,974,343,500	789.27
AZ	181,922	14,163,999,000	778.58	9	YB	244,019	18,973,094,500	777.53
YB	175,209	13,806,332,500	787.99	10	KK	225,980	17,669,597,000	781.91
KK	175,373	13,692,504,000	780.76	11	GR	179,845	13,900,242,500	772.90
ZP	173,279	13,610,860,000	785.49	12	AZ	165,757	12,970,893,500	782.52
OD	153,875	12,118,123,000	787.53	13	YJ	164,542	12,843,856,500	780.58
SQ	151,311	11,982,744,000	791.93	14	SQ	154,157	12,085,804,000	783.99
YJ	128,054	10,108,090,500	789.36	15	OD	156,327	12,028,447,000	769.44
TP	124,303	9,538,186,500	767.33	16	DR	131,805	10,448,127,500	792.70
BQ	114,041	8,976,877,500	787.16	17	BQ	123,198	9,838,784,500	798.62
XA	88,121	6,816,395,500	773.53	18	NI	116,795	9,254,382,500	792.36
GR	86,600	6,748,816,000	779.31	19	TP	117,831	8,800,235,000	746.85
DR	72,954	5,721,071,500	784.20	20	BK	100,772	8,075,875,000	801.40
AT	61,055	4,812,101,500	788.16	21	ZP	90,599	6,998,634,500	772.48
FZ	45,802	3,646,368,000	796.12	22	XA	81,301	6,402,016,500	787.45
AI	41,438	3,242,326,000	782.45	23	LG	75,364	5,953,269,500	789.94
DH	40,215	3,156,695,500	784.95	24	AO	62,289	4,889,139,500	784.91
LG	39,960	3,126,769,000	782.47	25	EP	61,699	4,851,892,500	786.38
EP	39,219	3,078,667,500	784.99	26	AT	58,638	4,615,126,000	787.05
AO	38,222	3,061,758,500	801.05	27	DH	55,666	4,362,891,000	783.76
AK	31,093	2,380,695,000	765.67	28	FZ	41,002	3,287,275,000	801.74
RS	27,967	2,201,272,000	787.10	29	YU	18,704	1,481,577,000	792.12
BR	27,759	2,179,063,000	784.99	30	RO	18,300	1,451,968,500	793.43
RO	18,300	1,470,475,000	803.54	31	AI	14,429	1,137,276,500	788.19
YU	16,305	1,278,219,000	783.94	32	BR	13,900	1,103,800,000	794.10
HD	11,626	926,710,000	797.10	33	LS	14,005	1,101,160,000	786.26
CD	11,823	918,201,500	776.62	34	KI	13,546	1,084,718,000	800.77
AG	11,039	869,188,500	787.38	35	IN	12,900	1,041,175,000	807.11
HP	10,728	841,391,000	784.29	36	RF	11,000	856,500,000	778.64
IF	10,598	839,769,000	792.38	37	HD	8,514	660,409,500	775.67
SA	10,426	813,217,000	779.99	38	PC	8,282	644,949,000	778.74
SH	10,025	799,835,000	797.84	39	SS	7,060	572,880,500	811.45
RF	10,026	779,727,000	777.70	40	HP	6,519	503,329,500	772.10
DX	9,025	709,683,000	786.35	41	AG	6,068	473,507,000	780.33
KI	6,843	540,382,000	789.69	42	GA	5,000	389,500,000	779.00
IN	5,886	445,781,500	757.36	43	IF	4,815	382,281,000	793.94
ES	5,447	420,139,000	771.32	44	CD	4,740	376,598,500	794.51
DU	4,000	310,000,000	775.00	45	SH	3,010	236,830,000	786.81
PC	3,221	249,597,500	774.91	46	IU	2,565	199,910,000	779.38
FS	2,693	211,878,000	786.77	47	DX	1,598	127,516,000	797.97
GA	2,000	157,500,000	787.50	48	FS	1,320	104,780,000	793.79
RG	1,645	127,800,000	776.90	49	PG	1,260	93,449,500	741.66
PG	1,260	93,472,500	741.85	50	OK	1,000	80,000,000	800.00
AR	1,000	75,000,000	750.00	51	RG	1,000	74,000,000	740.00
LS	892	71,192,500	798.12	52	JB	600	48,250,000	804.17
ID	750	56,250,000	750.00	53	ES	540	41,390,000	766.48
JB	606	48,200,000	795.38	54	RB	155	12,054,000	777.68
IU	520	39,020,000	750.38	55	QA	145	11,870,500	818.66
MU	284	21,784,500	767.06	56	SA	126	10,143,000	805.00
RB	216	16,211,500	750.53	57	SF	119	9,400,500	789.96
TS	200	15,000,000	750.00	58	ID	90	7,395,000	821.67
IH	187	14,667,500	784.36	59	IH	75	5,850,000	780.00
IC	125	9,987,500	799.00	60	MU	34	2,636,000	775.29
BS	120	9,750,000	812.50	61	DU	5	387,500	775.00
SF	118	9,596,000	813.22	62	AN	2	165,000	825.00
QA	60	4,686,000	781.00	63	 	 	 	 
TF	52	3,995,000	768.27	64	 	 	 	 
PO	29	2,392,500	825.00	65	 	 	 	 
AN	12	935,000	779.17	66	 	 	 	 
