ANTMToBrokerCode	ANTM	Start	2025-09-30	End	2025-09-30	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
BK	278,507	89,895,767,000	3227.77	1	ZP	374,157	119,756,730,000	3200.71
YP	253,550	82,732,116,000	3262.95	2	BK	204,648	66,479,027,000	3248.46
CC	229,007	74,046,197,000	3233.36	3	YU	192,183	62,382,877,000	3246.01
XL	140,824	45,554,956,000	3234.89	4	CC	163,513	53,167,123,000	3251.55
KK	128,715	42,373,938,000	3292.07	5	YP	160,580	52,252,931,000	3254.01
AK	131,564	42,216,465,000	3208.82	6	AK	157,497	51,576,772,000	3274.78
PD	88,749	28,714,741,000	3235.50	7	PD	87,421	28,500,718,000	3260.17
XC	85,835	27,827,448,000	3241.97	8	MG	81,161	26,785,800,000	3300.33
ZP	72,977	23,333,320,000	3197.35	9	XL	81,153	26,418,047,000	3255.34
SQ	71,343	23,327,563,000	3269.78	10	SQ	77,174	24,682,913,000	3198.35
NI	65,305	21,270,319,000	3257.07	11	KK	57,601	18,742,069,000	3253.77
CP	54,974	17,771,663,000	3232.74	12	NI	53,773	17,528,140,000	3259.65
YU	53,823	17,567,371,000	3263.92	13	CP	47,452	15,379,196,000	3241.00
AZ	46,681	15,397,821,000	3298.52	14	XC	42,034	13,606,741,000	3237.08
DR	46,408	15,168,870,000	3268.59	15	LG	40,736	13,053,322,000	3204.37
AI	41,379	13,463,057,000	3253.60	16	DR	35,437	11,561,350,000	3262.51
BB	38,410	12,523,202,000	3260.40	17	AT	23,792	7,841,924,000	3296.03
YJ	38,047	12,407,307,000	3261.05	18	GR	20,976	6,902,687,000	3290.75
OD	34,924	11,242,286,000	3219.07	19	EP	20,581	6,726,800,000	3268.45
GR	22,198	7,239,447,000	3261.31	20	HD	19,531	6,436,292,000	3295.42
AT	19,967	6,558,024,000	3284.43	21	AZ	18,236	5,939,360,000	3256.94
EP	15,381	5,001,829,000	3251.95	22	OD	16,555	5,362,520,000	3239.21
MG	15,017	4,897,173,000	3261.09	23	BQ	15,610	5,140,229,000	3292.91
LG	13,974	4,520,344,000	3234.82	24	HP	12,909	4,213,872,000	3264.29
DX	12,920	4,190,404,000	3243.35	25	BR	12,500	4,156,000,000	3324.80
DH	10,277	3,314,133,000	3224.81	26	KI	10,413	3,418,474,000	3282.89
PC	9,130	2,960,986,000	3243.14	27	DX	9,005	2,896,884,000	3216.97
XA	8,773	2,830,589,000	3226.48	28	QA	7,670	2,538,770,000	3310.00
HD	8,147	2,619,383,000	3215.15	29	FS	7,500	2,384,000,000	3178.67
YB	8,065	2,605,760,000	3230.95	30	PC	6,900	2,180,400,000	3160.00
BQ	6,902	2,218,695,000	3214.57	31	YB	6,153	1,996,789,000	3245.23
BR	6,320	2,099,350,000	3321.76	32	XA	5,111	1,659,259,000	3246.45
CD	5,218	1,695,476,000	3249.28	33	AI	4,166	1,366,971,000	3281.26
KI	4,904	1,608,026,000	3279.01	34	AG	3,950	1,282,729,000	3247.42
ZR	4,001	1,294,318,000	3234.99	35	TP	3,869	1,273,049,000	3290.38
SS	3,375	1,102,360,000	3266.25	36	DH	3,133	1,017,638,000	3248.13
AO	2,905	953,152,000	3281.07	37	ES	2,500	832,500,000	3330.00
HP	2,692	875,643,000	3252.76	38	LS	2,007	670,224,000	3339.43
TP	2,528	814,672,000	3222.59	39	AO	1,575	520,781,000	3306.55
AG	2,320	758,641,000	3270.00	40	KZ	1,456	474,870,000	3261.47
LS	1,914	619,574,000	3237.06	41	ID	1,250	399,950,000	3199.60
IF	1,814	586,271,000	3231.92	42	CD	1,087	346,612,000	3188.70
ES	1,568	498,104,000	3176.68	43	AF	1,000	316,000,000	3160.00
IT	1,500	486,000,000	3240.00	44	BS	750	250,500,000	3340.00
RS	1,100	348,450,000	3167.73	45	BB	603	190,548,000	3160.00
AF	1,020	325,320,000	3189.41	46	IU	450	149,500,000	3322.22
ID	645	208,865,000	3238.22	47	YJ	454	143,988,000	3171.54
SH	600	189,900,000	3165.00	48	ZR	400	126,800,000	3170.00
RG	552	176,802,000	3202.93	49	FZ	300	95,700,000	3190.00
MU	501	161,220,000	3217.96	50	SS	220	73,480,000	3340.00
FZ	485	158,989,000	3278.12	51	RO	140	46,320,000	3308.57
RF	400	129,200,000	3230.00	52	IF	40	13,086,000	3271.50
PP	239	75,524,000	3160.00	53	IH	5	1,640,000	3280.00
RO	159	51,509,000	3239.56	54	AD	4	1,268,000	3170.00
FS	140	44,800,000	3200.00	55	RX	2	668,000	3340.00
MI	114	36,962,000	3242.28	56	 	 	 	 
BS	102	32,638,000	3199.80	57	 	 	 	 
AN	95	30,295,000	3188.95	58	 	 	 	 
JB	86	27,584,000	3207.44	59	 	 	 	 
OK	80	26,000,000	3250.00	60	 	 	 	 
SF	56	17,836,000	3185.00	61	 	 	 	 
IH	50	16,350,000	3270.00	62	 	 	 	 
DU	23	7,473,000	3249.13	63	 	 	 	 
PG	20	6,680,000	3340.00	64	 	 	 	 
PO	13	4,132,000	3178.46	65	 	 	 	 
TF	5	1,609,000	3218.00	66	 	 	 	 
QA	4	1,309,000	3272.50	67	 	 	 	 
PF	2	630,000	3150.00	68	 	 	 	 
