ANTMToBrokerCode	ANTM	Start	2025-09-19	End	2025-09-19	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
AK	346,285	121,501,441,000	3508.71	1	CC	220,067	77,059,103,000	3501.62
ZP	228,973	79,772,626,000	3483.93	2	YP	162,330	57,121,330,000	3518.84
YP	205,599	72,067,613,000	3505.25	3	YU	151,774	53,106,633,000	3499.06
BK	165,307	58,007,147,650	3509.04	4	AK	145,093	50,410,482,000	3474.36
CC	130,640	45,799,387,000	3505.77	5	BK	139,709	48,833,310,650	3495.33
KK	59,179	20,675,995,000	3493.81	6	PD	97,486	33,978,603,000	3485.49
EP	51,823	18,210,837,000	3514.05	7	ZP	96,270	33,543,444,000	3484.31
XL	49,823	17,406,973,000	3493.76	8	XL	83,029	29,180,469,000	3514.49
PD	45,718	15,936,472,000	3485.82	9	NI	67,185	23,606,498,000	3513.66
YU	41,699	14,506,334,000	3478.82	10	XC	59,407	20,932,586,000	3523.59
RX	38,309	13,264,466,000	3462.49	11	SQ	52,437	18,500,696,000	3528.18
XC	37,432	13,100,354,000	3499.77	12	OD	42,569	14,977,398,000	3518.38
CP	29,020	10,198,557,000	3514.32	13	BB	38,000	13,159,911,000	3463.13
DR	28,977	10,136,433,000	3498.10	14	DR	33,623	11,811,652,000	3512.97
SQ	21,224	7,418,317,000	3495.25	15	CP	30,915	10,827,927,000	3502.48
NI	18,540	6,486,416,000	3498.61	16	RX	28,011	9,663,795,000	3450.00
HD	13,029	4,578,097,000	3513.77	17	KK	27,768	9,656,822,000	3477.68
BB	12,244	4,267,638,000	3485.49	18	EP	24,019	8,363,220,000	3481.92
YB	10,638	3,747,554,000	3522.80	19	GR	22,537	7,956,251,000	3530.31
GR	10,562	3,696,688,000	3499.99	20	HD	12,845	4,490,854,000	3496.19
OD	10,061	3,522,344,000	3500.99	21	YB	12,543	4,411,213,000	3516.87
DH	9,536	3,349,835,000	3512.83	22	DH	12,026	4,186,607,000	3481.30
RG	9,060	3,219,760,000	3553.82	23	XA	9,458	3,339,390,000	3530.76
LG	8,686	3,018,122,000	3474.70	24	RG	9,037	3,141,001,000	3475.71
AZ	6,674	2,314,153,000	3467.42	25	BQ	8,527	2,995,401,000	3512.84
BR	5,800	2,012,800,000	3470.34	26	AI	6,604	2,340,585,000	3544.19
MG	5,608	1,952,513,000	3481.66	27	MG	6,465	2,256,289,000	3490.01
AT	5,479	1,915,139,000	3495.42	28	AT	5,931	2,072,167,000	3493.79
BQ	4,649	1,631,141,000	3508.58	29	AZ	5,262	1,860,021,000	3534.82
KI	4,635	1,601,768,000	3455.81	30	AO	5,002	1,761,237,000	3521.07
YJ	4,440	1,563,166,000	3520.64	31	KI	4,688	1,608,694,000	3431.51
XA	4,181	1,464,233,000	3502.11	32	ZR	4,230	1,487,840,000	3517.35
ZR	4,033	1,415,801,000	3510.54	33	TP	3,569	1,251,476,000	3506.52
AI	3,772	1,316,710,000	3490.75	34	IN	3,000	1,050,000,000	3500.00
AO	3,214	1,140,991,000	3550.07	35	DX	2,315	812,955,000	3511.68
IN	3,000	1,035,000,000	3450.00	36	LG	2,177	765,669,000	3517.08
CD	2,306	802,062,000	3478.15	37	RO	2,154	762,516,000	3540.00
TP	2,090	733,170,000	3507.99	38	YJ	2,001	707,973,000	3538.10
PC	2,033	706,350,000	3474.42	39	IF	2,003	704,854,000	3518.99
IF	1,821	634,709,000	3485.50	40	LS	1,898	668,959,000	3524.55
HP	1,116	390,320,000	3497.49	41	AG	1,429	507,694,000	3552.79
RO	1,000	345,000,000	3450.00	42	PC	1,392	480,245,000	3450.04
LS	920	320,453,000	3483.18	43	GA	1,300	453,600,000	3489.23
DX	735	256,790,000	3493.74	44	HP	1,100	387,395,000	3521.77
AG	635	221,591,000	3489.62	45	BR	995	346,090,000	3478.29
GA	500	174,000,000	3480.00	46	FZ	745	259,500,000	3483.22
RS	300	103,900,000	3463.33	47	RS	450	160,850,000	3574.44
FZ	250	87,635,000	3505.40	48	MU	300	106,400,000	3546.67
ES	202	70,494,000	3489.80	49	DU	200	70,100,000	3505.00
SS	160	55,965,000	3497.81	50	CD	162	57,186,000	3530.00
MU	150	52,150,000	3476.67	51	AF	130	45,240,000	3480.00
SH	100	34,600,000	3460.00	52	SH	116	40,168,000	3462.76
AF	100	34,600,000	3460.00	53	ID	110	38,260,000	3478.18
IT	100	34,600,000	3460.00	54	ES	100	35,700,000	3570.00
PP	91	31,395,000	3450.00	55	JB	51	18,032,000	3535.69
TF	60	20,970,000	3495.00	56	BS	50	17,700,000	3540.00
AR	50	17,550,000	3510.00	57	QA	13	4,588,000	3529.23
AN	30	10,440,000	3480.00	58	RF	12	4,260,000	3550.00
PO	14	4,872,000	3480.00	59	SS	10	3,540,000	3540.00
FS	12	4,284,000	3570.00	60	IH	5	1,785,000	3570.00
ID	10	3,460,000	3460.00	61	SF	5	1,760,000	3520.00
IH	5	1,750,000	3500.00	62	TF	1	357,000	3570.00
SF	1	350,000	3500.00	63	 	 	 	 
