BUMIToBrokerCode	BUMI	Start	2026-01-28	End	2026-01-28	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	4,100,527	120,555,493,800	294.00	1	CC	5,666,710	166,601,274,000	294.00
CC	2,001,548	58,845,511,200	294.00	2	BB	3,825,000	112,455,000,000	294.00
YP	1,873,692	55,086,544,800	294.00	3	MG	2,724,843	80,110,384,200	294.00
XC	1,130,950	33,249,930,000	294.00	4	YJ	1,062,358	31,233,325,200	294.00
LG	1,044,701	30,714,209,400	294.00	5	AZ	996,203	29,288,368,200	294.00
PD	978,926	28,780,424,400	294.00	6	XL	880,241	25,879,085,400	294.00
SQ	826,527	24,299,893,800	294.00	7	KK	861,500	25,328,100,000	294.00
OD	719,219	21,145,038,600	294.00	8	CP	785,110	23,082,234,000	294.00
KK	716,107	21,053,545,800	294.00	9	KI	698,989	20,550,276,600	294.00
AZ	700,701	20,600,609,400	294.00	10	BK	674,594	19,833,063,600	294.00
NI	568,020	16,699,788,000	294.00	11	YU	547,010	16,082,094,000	294.00
GR	533,179	15,675,462,600	294.00	12	ZP	426,580	12,541,452,000	294.00
CP	468,750	13,781,250,000	294.00	13	LG	222,203	6,532,768,200	294.00
XA	467,152	13,734,268,800	294.00	14	YB	193,232	5,681,020,800	294.00
TP	430,361	12,652,613,400	294.00	15	XA	175,000	5,145,000,000	294.00
YB	423,606	12,454,016,400	294.00	16	IF	162,695	4,783,233,000	294.00
BQ	322,555	9,483,117,000	294.00	17	XC	154,478	4,541,653,200	294.00
ZP	305,197	8,972,791,800	294.00	18	RF	97,500	2,866,500,000	294.00
DR	255,263	7,504,732,200	294.00	19	GR	90,995	2,675,253,000	294.00
MG	213,517	6,277,399,800	294.00	20	EL	80,000	2,352,000,000	294.00
YU	199,923	5,877,736,200	294.00	21	YP	69,938	2,056,177,200	294.00
DH	194,316	5,712,890,400	294.00	22	AO	55,000	1,617,000,000	294.00
YJ	190,909	5,612,724,600	294.00	23	OD	39,085	1,149,099,000	294.00
EP	181,648	5,340,451,200	294.00	24	DR	35,154	1,033,527,600	294.00
IF	178,064	5,235,081,600	294.00	25	SH	27,500	808,500,000	294.00
KI	157,109	4,619,004,600	294.00	26	AT	24,690	725,886,000	294.00
IN	154,227	4,534,273,800	294.00	27	SQ	16,076	472,634,400	294.00
HP	127,542	3,749,734,800	294.00	28	HD	8,000	235,200,000	294.00
AO	108,475	3,189,165,000	294.00	29	TP	6,609	194,304,600	294.00
AN	107,318	3,155,149,200	294.00	30	BR	5,437	159,847,800	294.00
BK	103,111	3,031,463,400	294.00	31	EP	4,928	144,883,200	294.00
AG	91,353	2,685,778,200	294.00	32	AI	4,000	117,600,000	294.00
AI	80,484	2,366,229,600	294.00	33	DH	3,000	88,200,000	294.00
II	60,050	1,765,470,000	294.00	34	IT	2,000	58,800,000	294.00
LS	58,823	1,729,396,200	294.00	35	NI	1,397	41,071,800	294.00
AT	49,973	1,469,206,200	294.00	36	BQ	1,064	31,281,600	294.00
DX	38,287	1,125,637,800	294.00	37	IU	1,000	29,400,000	294.00
RX	30,612	899,992,800	294.00	38	QA	478	14,053,200	294.00
RO	30,561	898,493,400	294.00	39	 	 	 	 
MI	29,982	881,470,800	294.00	40	 	 	 	 
ZR	28,500	837,900,000	294.00	41	 	 	 	 
PF	26,500	779,100,000	294.00	42	 	 	 	 
OK	25,780	757,932,000	294.00	43	 	 	 	 
BS	24,150	710,010,000	294.00	44	 	 	 	 
CD	23,051	677,699,400	294.00	45	 	 	 	 
PC	21,351	627,719,400	294.00	46	 	 	 	 
SH	20,230	594,762,000	294.00	47	 	 	 	 
AF	19,320	568,008,000	294.00	48	 	 	 	 
PG	19,230	565,362,000	294.00	49	 	 	 	 
QA	17,543	515,764,200	294.00	50	 	 	 	 
HD	14,135	415,569,000	294.00	51	 	 	 	 
RS	13,130	386,022,000	294.00	52	 	 	 	 
RF	12,917	379,759,800	294.00	53	 	 	 	 
FS	12,140	356,916,000	294.00	54	 	 	 	 
SA	11,000	323,400,000	294.00	55	 	 	 	 
SS	10,245	301,203,000	294.00	56	 	 	 	 
AP	10,200	299,880,000	294.00	57	 	 	 	 
TS	10,000	294,000,000	294.00	58	 	 	 	 
AK	9,566	281,240,400	294.00	59	 	 	 	 
ES	7,255	213,297,000	294.00	60	 	 	 	 
IU	7,220	212,268,000	294.00	61	 	 	 	 
RG	6,714	197,391,600	294.00	62	 	 	 	 
AR	5,039	148,146,600	294.00	63	 	 	 	 
MU	4,876	143,354,400	294.00	64	 	 	 	 
FZ	3,666	107,780,400	294.00	65	 	 	 	 
IH	2,674	78,615,600	294.00	66	 	 	 	 
SF	2,398	70,501,200	294.00	67	 	 	 	 
DU	2,000	58,800,000	294.00	68	 	 	 	 
BR	1,621	47,657,400	294.00	69	 	 	 	 
RB	1,015	29,841,000	294.00	70	 	 	 	 
BF	1,000	29,400,000	294.00	71	 	 	 	 
IT	700	20,580,000	294.00	72	 	 	 	 
ID	660	19,404,000	294.00	73	 	 	 	 
JB	504	14,817,600	294.00	74	 	 	 	 
PP	300	8,820,000	294.00	75	 	 	 	 
GA	300	8,820,000	294.00	76	 	 	 	 
TF	195	5,733,000	294.00	77	 	 	 	 
PO	120	3,528,000	294.00	78	 	 	 	 
GI	86	2,528,400	294.00	79	 	 	 	 
AD	1	29,400	294.00	80	 	 	 	 
