BUMIToBrokerCode	BUMI	Start	2026-01-23	End	2026-01-23	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
AK	9,510,701	331,099,717,600	348.13	1	YU	18,234,262	635,233,670,400	348.37
MG	8,841,700	309,898,295,000	350.50	2	XL	9,140,917	316,885,960,600	346.67
XL	8,751,857	307,603,261,600	351.47	3	YP	7,470,052	261,118,347,000	349.55
YP	8,262,888	289,351,359,000	350.18	4	MG	6,603,188	233,981,964,400	354.35
CC	7,738,708	267,932,344,800	346.22	5	CC	6,688,241	233,334,305,800	348.87
PD	5,120,510	179,973,524,200	351.48	6	AK	4,936,232	173,304,514,200	351.09
YU	4,865,990	168,925,853,800	347.16	7	XC	4,085,472	142,104,409,800	347.83
CP	4,765,273	166,530,772,800	349.47	8	CP	3,934,941	137,926,427,200	350.52
ZP	4,036,034	141,060,123,000	349.50	9	PD	3,338,234	115,873,640,800	347.11
BK	3,666,266	125,612,314,000	342.62	10	NI	2,915,720	101,999,871,800	349.83
XC	3,557,000	125,043,808,000	351.54	11	BK	2,295,432	81,381,317,000	354.54
HD	2,527,331	88,078,840,000	348.51	12	HD	2,293,303	79,833,203,600	348.11
KK	2,130,964	74,482,790,200	349.53	13	SQ	2,033,559	70,083,882,200	344.64
YJ	1,661,423	57,708,911,400	347.35	14	ZP	1,730,771	60,803,189,200	351.31
DR	1,592,149	56,115,465,200	352.45	15	BQ	1,634,890	57,114,209,400	349.35
LG	1,601,839	55,174,386,600	344.44	16	LG	1,617,922	56,571,047,600	349.65
BQ	1,580,771	54,877,215,600	347.15	17	KK	1,623,354	56,445,185,400	347.71
SS	1,462,500	51,385,286,200	351.35	18	OD	1,557,659	53,279,368,000	342.05
SQ	1,435,295	50,256,979,800	350.15	19	YB	1,511,396	52,843,798,000	349.64
YB	1,384,018	48,300,717,600	348.99	20	YJ	1,419,124	49,383,636,000	347.99
AZ	1,372,722	48,094,673,800	350.36	21	AZ	1,380,276	47,941,030,800	347.33
GR	1,358,735	47,783,533,000	351.68	22	DR	1,271,003	44,827,382,800	352.69
NI	1,242,473	43,442,231,600	349.64	23	GR	1,107,871	38,345,038,400	346.11
