INETToBrokerCode	INET	Start	2025-11-14	End	2025-11-14	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	4,560,101	225,352,667,400	494.18	1	XL	5,067,646	248,717,849,100	490.80
MG	4,340,768	212,641,988,600	489.87	2	MG	4,133,080	203,329,301,900	491.96
YP	2,746,093	135,886,448,700	494.84	3	YP	3,121,873	153,801,642,400	492.66
CC	2,615,285	128,819,830,200	492.57	4	CC	2,164,170	106,982,595,500	494.34
AK	1,824,395	88,850,419,500	487.01	5	CP	1,798,992	89,350,567,100	496.67
CP	1,593,964	79,345,384,600	497.79	6	AK	1,139,880	55,310,333,100	485.23
BK	1,273,060	59,875,244,300	470.33	7	PD	1,086,275	53,075,147,700	488.60
PD	759,246	37,335,594,800	491.75	8	XC	824,516	40,249,941,600	488.16
AZ	718,862	35,979,921,500	500.51	9	YB	676,084	33,423,625,800	494.37
XC	632,332	31,449,395,300	497.36	10	NI	617,112	30,081,596,000	487.46
NI	487,151	24,250,619,000	497.80	11	KK	472,267	22,795,320,700	482.68
KK	447,161	21,723,588,000	485.81	12	AZ	393,613	19,530,064,500	496.17
YB	438,345	21,582,155,600	492.36	13	BQ	367,001	17,783,607,700	484.57
ZP	389,576	18,803,911,000	482.68	14	OD	335,868	16,393,706,200	488.10
BQ	363,497	17,681,537,700	486.43	15	LG	326,227	16,323,389,900	500.37
OD	263,452	12,909,690,700	490.02	16	SQ	311,304	15,499,229,100	497.88
YJ	216,167	11,028,799,100	510.20	17	AO	246,081	12,131,031,300	492.97
AO	216,072	10,714,387,100	495.87	18	GR	245,030	12,063,418,100	492.32
EP	201,840	10,002,952,900	495.59	19	YJ	229,738	11,745,973,400	511.28
SQ	155,526	7,657,388,000	492.35	20	XA	227,935	11,117,514,500	487.75
LG	154,717	7,617,888,300	492.38	21	ZP	204,440	10,133,610,800	495.68
GR	135,946	6,780,538,700	498.77	22	DR	199,643	9,870,548,900	494.41
XA	130,332	6,283,212,500	482.09	23	EP	189,113	9,202,031,000	486.59
DR	124,861	6,077,872,900	486.77	24	DH	177,582	8,742,029,200	492.28
ES	107,013	5,192,725,100	485.24	25	AT	145,635	7,074,205,200	485.75
HP	89,743	4,569,218,700	509.14	26	ES	117,552	5,739,181,600	488.22
DH	71,153	3,484,871,400	489.77	27	BK	91,663	4,615,367,600	503.51
AT	67,934	3,349,828,100	493.10	28	HP	86,998	4,114,643,200	472.96
TP	55,450	2,690,545,400	485.22	29	TP	70,382	3,477,005,100	494.02
IF	51,932	2,570,069,800	494.89	30	YU	68,493	3,405,233,700	497.17
YU	42,210	2,145,401,700	508.27	31	KI	60,987	2,944,383,500	482.79
AG	36,073	1,741,720,000	482.83	32	AI	57,387	2,711,529,700	472.50
AI	29,425	1,400,563,400	475.98	33	IF	51,729	2,562,865,500	495.44
RF	20,000	1,020,000,000	510.00	34	AG	42,192	2,030,945,600	481.36
KI	20,781	1,010,038,700	486.04	35	IN	20,684	992,096,000	479.64
HD	16,910	861,943,200	509.72	36	FS	19,731	935,539,100	474.15
RG	15,150	712,470,000	470.28	37	HD	14,849	728,710,900	490.75
IN	14,181	698,952,600	492.88	38	LS	14,478	719,724,000	497.12
LS	12,765	660,540,000	517.46	39	CD	13,536	665,480,400	491.64
BR	12,952	627,717,000	484.65	40	IU	13,166	641,647,500	487.35
RS	10,102	454,762,000	450.17	41	RG	12,495	586,255,000	469.19
FS	8,813	426,827,800	484.32	42	PC	10,883	503,715,600	462.85
FZ	8,100	418,960,000	517.23	43	BR	8,677	429,403,100	494.88
IU	7,525	374,575,000	497.77	44	QA	7,503	390,374,500	520.29
QA	7,313	369,102,200	504.72	45	SH	6,747	319,246,400	473.17
PO	6,917	334,240,600	483.22	46	AN	6,061	301,926,500	498.15
SH	6,201	295,039,400	475.79	47	FZ	5,700	297,530,000	521.98
SA	3,800	187,850,000	494.34	48	DX	5,137	243,731,600	474.46
CD	3,268	159,404,900	487.78	49	PO	4,423	220,772,600	499.15
AN	3,015	146,975,000	487.48	50	RF	1,800	92,850,000	515.83
PC	2,145	102,279,000	476.83	51	MI	1,600	79,930,000	499.56
DX	1,520	73,445,800	483.20	52	RB	1,333	65,016,400	487.74
DU	1,000	51,500,000	515.00	53	RO	1,250	58,915,000	471.32
II	1,000	50,000,000	500.00	54	SA	1,200	56,360,000	469.67
MI	1,000	46,700,000	467.00	55	DU	1,053	53,991,000	512.74
PG	1,000	46,600,000	466.00	56	ZR	1,080	51,264,000	474.67
MU	730	34,882,000	477.84	57	II	1,000	51,000,000	510.00
IH	590	29,645,000	502.46	58	IH	1,000	49,445,000	494.45
SF	433	21,339,700	492.83	59	SF	747	36,029,200	482.32
RB	402	19,500,500	485.09	60	MU	700	34,659,000	495.13
RO	300	14,040,000	468.00	61	AF	600	30,910,000	515.17
JB	110	5,415,800	492.35	62	OK	500	25,000,000	500.00
AF	100	4,380,000	438.00	63	ID	420	19,320,000	460.00
ZR	15	765,000	510.00	64	SS	300	13,800,000	460.00
PP	10	510,000	510.00	65	FO	150	6,870,000	458.00
GI	9	448,900	498.78	66	TF	143	6,830,600	477.66
 	 	 	 	67	JB	100	5,025,000	502.50
 	 	 	 	68	AP	100	4,875,000	487.50
 	 	 	 	69	RS	100	4,700,000	470.00
 	 	 	 	70	BS	100	4,600,000	460.00
 	 	 	 	71	GI	5	250,500	501.00
