CUANToBrokerCode	CUAN	Start	2025-11-10	End	2025-11-10	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
XL	395,193	90,575,695,000	2291.94	1	AK	350,819	80,547,036,000	2295.97
YP	165,688	38,195,562,000	2305.27	2	XL	230,016	52,661,673,000	2289.48
XC	122,209	28,018,942,000	2292.71	3	CC	168,032	38,452,158,000	2288.38
CC	116,334	26,584,677,000	2285.20	4	ZP	166,926	38,272,855,000	2292.80
PD	102,853	23,569,861,000	2291.61	5	YP	122,076	28,051,767,000	2297.89
MG	78,943	18,201,101,000	2305.60	6	BB	91,500	20,862,940,000	2280.10
TP	75,500	17,181,606,000	2275.71	7	MG	81,889	18,830,221,000	2299.48
AK	74,508	17,121,651,000	2297.96	8	XC	76,904	17,614,576,000	2290.46
CP	55,280	12,647,719,000	2287.94	9	BK	74,043	16,884,523,000	2280.37
ZP	54,481	12,466,247,000	2288.18	10	PD	47,092	10,779,485,000	2289.03
YJ	46,588	10,616,355,000	2278.77	11	OD	42,467	9,753,148,000	2296.64
NI	41,958	9,641,305,000	2297.85	12	AZ	37,796	8,619,127,000	2280.43
XA	42,098	9,612,160,000	2283.28	13	RX	28,410	6,469,397,000	2277.15
DR	39,014	8,962,482,000	2297.25	14	CP	27,216	6,263,558,000	2301.42
LG	36,122	8,247,481,000	2283.23	15	GR	26,360	6,044,296,000	2292.98
SQ	34,527	7,905,962,000	2289.79	16	AI	22,424	5,105,005,000	2276.58
KK	32,688	7,475,176,000	2286.83	17	XA	20,877	4,791,481,000	2295.10
CD	28,531	6,534,130,000	2290.19	18	KK	19,210	4,408,860,000	2295.09
EP	27,760	6,385,160,000	2300.13	19	NI	19,040	4,371,500,000	2295.96
BR	23,705	5,438,422,000	2294.21	20	YB	17,429	3,986,768,000	2287.43
OD	21,925	5,028,448,000	2293.48	21	IF	13,723	3,174,141,000	2313.01
GR	20,556	4,699,078,000	2285.99	22	BQ	13,194	3,055,421,000	2315.77
RF	20,343	4,629,504,000	2275.72	23	EP	12,857	2,935,405,000	2283.12
YB	20,235	4,611,505,000	2278.97	24	SQ	12,173	2,784,557,000	2287.49
GA	17,500	3,969,970,000	2268.55	25	TP	11,513	2,629,479,000	2283.92
BB	15,749	3,664,951,000	2327.10	26	HP	11,211	2,581,761,000	2302.88
AT	15,014	3,423,574,000	2280.25	27	AO	10,836	2,506,834,000	2313.43
AZ	12,535	2,865,069,000	2285.66	28	DR	10,447	2,391,363,000	2289.04
AO	11,346	2,602,739,000	2293.97	29	DH	8,528	1,940,198,000	2275.09
BQ	10,129	2,326,835,000	2297.20	30	SH	7,203	1,654,503,000	2296.96
HP	7,432	1,701,264,000	2289.11	31	LG	7,098	1,636,218,000	2305.18
KI	7,266	1,683,539,000	2317.01	32	BR	6,156	1,439,871,000	2338.97
FZ	7,301	1,669,827,000	2287.12	33	PC	4,935	1,125,205,000	2280.05
DH	5,994	1,371,836,000	2288.68	34	AT	3,328	761,657,000	2288.63
PC	4,981	1,134,205,000	2277.06	35	YU	3,272	749,705,000	2291.27
YU	4,505	1,034,682,000	2296.74	36	FZ	3,040	701,580,000	2307.83
SH	4,203	975,505,000	2320.97	37	HD	1,828	422,460,000	2311.05
AG	3,511	796,523,000	2268.65	38	IU	1,716	393,051,000	2290.51
IF	3,050	698,596,000	2290.48	39	YJ	1,372	314,148,000	2289.71
HD	2,790	638,750,000	2289.43	40	KI	1,266	290,290,000	2292.97
LS	2,781	638,474,000	2295.84	41	ES	1,255	287,240,000	2288.76
IU	1,456	337,195,000	2315.90	42	IN	1,040	242,160,000	2328.46
AI	1,451	331,383,000	2283.82	43	GA	1,000	228,000,000	2280.00
ES	1,355	309,920,000	2287.23	44	AG	757	173,566,000	2292.81
DX	1,136	259,105,000	2280.85	45	RG	450	102,600,000	2280.00
AH	1,090	249,610,000	2290.00	46	AF	414	94,392,000	2280.00
IN	1,000	233,000,000	2330.00	47	CD	383	86,833,000	2267.18
BK	552	126,211,000	2286.43	48	LS	205	47,555,000	2319.76
AN	506	115,880,000	2290.12	49	FS	200	46,600,000	2330.00
RG	346	79,096,000	2286.01	50	AR	200	45,600,000	2280.00
FS	200	46,000,000	2300.00	51	EL	112	25,872,000	2310.00
AR	120	27,360,000	2280.00	52	IT	100	22,800,000	2280.00
PG	70	16,170,000	2310.00	53	DX	95	21,857,000	2300.74
RO	61	14,117,000	2314.26	54	RO	50	11,450,000	2290.00
AF	50	11,475,000	2295.00	55	PO	25	5,679,000	2271.60
MU	27	6,183,000	2290.00	56	RS	20	4,700,000	2350.00
PF	10	2,295,000	2295.00	57	IH	20	4,540,000	2270.00
PO	10	2,290,000	2290.00	58	QA	12	2,820,000	2350.00
SF	6	1,372,000	2286.67	59	RB	12	2,736,000	2280.00
IH	5	1,130,000	2260.00	60	SS	3	680,000	2266.67
 	 	 	 	61	SF	2	459,000	2295.00
