CUANToBrokerCode	CUAN	Start	2025-11-26	End	2025-11-26	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
AK	168,642	39,968,933,000	2370.05	1	XL	230,253	54,668,072,000	2374.26
XL	135,859	32,300,109,000	2377.47	2	AK	131,958	31,388,742,000	2378.69
YB	127,969	30,412,419,000	2376.55	3	YP	93,842	22,298,687,000	2376.19
YP	81,192	19,313,915,000	2378.80	4	XC	74,014	17,594,907,000	2377.24
CD	62,599	14,897,290,000	2379.80	5	ZP	68,118	16,199,552,000	2378.16
CC	43,444	10,287,368,000	2367.96	6	CC	63,362	15,026,959,000	2371.60
XC	42,030	9,981,746,000	2374.91	7	PD	45,381	10,769,440,000	2373.12
TP	39,016	9,323,999,000	2389.79	8	BK	26,849	6,367,715,000	2371.68
MG	30,502	7,225,846,000	2368.97	9	SQ	21,418	5,099,721,000	2381.04
DR	28,918	6,888,957,000	2382.24	10	KK	20,566	4,887,097,000	2376.30
PD	28,757	6,831,968,000	2375.76	11	NI	20,264	4,829,466,000	2383.27
KI	21,892	5,210,128,000	2379.92	12	XA	19,930	4,766,056,000	2391.40
HP	18,930	4,503,536,000	2379.05	13	OD	18,027	4,289,550,000	2379.51
CP	17,446	4,159,901,000	2384.44	14	CP	17,683	4,194,312,000	2371.95
ZP	17,193	4,079,703,000	2372.89	15	EP	16,336	3,885,542,000	2378.51
KK	16,545	3,935,588,000	2378.72	16	LG	14,403	3,424,641,000	2377.73
BK	13,538	3,228,411,000	2384.70	17	AZ	11,259	2,683,578,000	2383.50
GR	10,614	2,519,477,000	2373.73	18	DR	10,448	2,481,442,000	2375.04
OD	10,399	2,469,027,000	2374.29	19	GR	10,249	2,425,698,000	2366.77
SQ	9,582	2,275,560,000	2374.83	20	MG	9,989	2,373,877,000	2376.49
AZ	9,334	2,231,862,000	2391.11	21	AO	8,548	2,033,747,000	2379.21
NI	8,906	2,120,737,000	2381.25	22	TP	7,617	1,822,510,000	2392.69
LG	8,602	2,052,154,000	2385.67	23	YU	6,893	1,631,395,000	2366.74
EP	7,369	1,743,739,000	2366.32	24	BR	6,735	1,607,585,000	2386.91
AO	7,261	1,731,650,000	2384.86	25	YB	5,481	1,300,993,000	2373.64
YJ	4,062	963,898,000	2372.96	26	IF	4,927	1,171,691,000	2378.10
BR	4,035	958,750,000	2376.08	27	HP	4,505	1,068,364,000	2371.51
YU	3,804	906,111,000	2382.00	28	DH	4,359	1,037,524,000	2380.19
AI	3,298	783,050,000	2374.32	29	BQ	4,145	985,727,000	2378.11
SH	3,060	731,280,000	2389.80	30	YJ	3,467	830,941,000	2396.71
BB	2,000	480,000,000	2400.00	31	CD	3,082	724,528,000	2350.84
IU	1,984	470,208,000	2370.00	32	KI	2,547	607,477,000	2385.07
AT	1,771	421,232,000	2378.50	33	HD	2,453	585,789,000	2388.05
BQ	1,707	407,525,000	2387.38	34	LS	2,066	493,380,000	2388.09
DH	1,710	407,159,000	2381.05	35	FZ	2,021	480,840,000	2379.22
XA	1,691	403,788,000	2387.87	36	PC	1,552	369,425,000	2380.32
PC	1,503	356,208,000	2369.98	37	FS	1,325	316,475,000	2388.49
FS	1,000	239,000,000	2390.00	38	MU	1,155	274,240,000	2374.37
LS	1,001	236,240,000	2360.04	39	AT	1,125	268,667,000	2388.15
FZ	750	177,000,000	2360.00	40	DU	993	235,775,000	2374.37
AG	605	145,074,000	2397.92	41	AG	797	189,627,000	2379.26
DU	600	142,800,000	2380.00	42	DX	570	135,720,000	2381.05
IF	539	128,393,000	2382.06	43	ID	500	119,500,000	2390.00
ID	500	120,500,000	2410.00	44	PF	400	95,200,000	2380.00
AF	200	47,400,000	2370.00	45	ES	310	73,480,000	2370.32
HD	150	35,750,000	2383.33	46	AI	279	66,105,000	2369.35
RO	130	30,770,000	2366.92	47	RO	230	55,200,000	2400.00
DX	70	16,520,000	2360.00	48	SA	150	35,400,000	2360.00
BS	60	14,220,000	2370.00	49	II	100	23,600,000	2360.00
ES	25	5,915,000	2366.00	50	RB	35	8,260,000	2360.00
MU	25	5,875,000	2350.00	51	SH	30	7,170,000	2390.00
IH	10	2,380,000	2380.00	52	PG	30	7,140,000	2380.00
JB	6	1,434,000	2390.00	53	IN	25	5,925,000	2370.00
RG	5	1,190,000	2380.00	54	IH	20	4,720,000	2360.00
SF	1	236,000	2360.00	55	RS	15	3,585,000	2390.00
 	 	 	 	56	QA	5	1,170,000	2340.00
