CDIAToBrokerCode	CDIA	Start	2026-01-15	End	2026-01-15	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
CC	166,496	25,054,080,500	1504.79	1	YP	188,779	28,367,625,500	1502.69
XL	141,236	21,265,743,500	1505.69	2	XL	160,803	24,248,925,500	1507.99
AK	136,724	20,650,959,500	1510.41	3	CC	103,888	15,630,074,000	1504.51
XC	86,006	12,954,659,500	1506.25	4	XC	86,669	13,059,625,000	1506.84
PD	83,136	12,501,078,000	1503.69	5	PD	83,118	12,516,345,500	1505.85
YP	50,961	7,665,361,000	1504.16	6	YU	50,748	7,643,071,000	1506.08
ZP	29,601	4,462,924,500	1507.69	7	NI	38,994	5,861,407,500	1503.16
NI	27,480	4,132,296,000	1503.75	8	AO	23,717	3,588,761,000	1513.16
SQ	26,885	4,043,658,500	1504.06	9	LG	22,129	3,326,222,500	1503.11
OD	22,788	3,437,023,000	1508.26	10	GR	20,431	3,084,001,500	1509.47
LG	21,236	3,195,314,500	1504.67	11	OD	18,661	2,813,883,000	1507.90
AZ	21,179	3,187,325,000	1504.95	12	DH	18,601	2,796,635,000	1503.49
AO	18,030	2,713,506,500	1505.00	13	CD	15,001	2,256,418,000	1504.18
TP	16,593	2,500,620,000	1507.03	14	BB	14,723	2,212,848,000	1502.99
XA	16,024	2,405,999,500	1501.50	15	DP	14,723	2,212,679,500	1502.87
GR	14,960	2,251,141,500	1504.77	16	MG	13,603	2,053,891,000	1509.88
KK	13,342	2,008,597,500	1505.47	17	SQ	13,224	1,999,353,000	1511.91
BK	11,187	1,684,650,000	1505.90	18	BK	12,138	1,830,505,500	1508.08
DR	8,653	1,306,884,000	1510.32	19	KK	11,760	1,774,426,000	1508.87
EP	6,571	992,584,500	1510.55	20	CP	11,093	1,670,849,000	1506.22
DH	6,537	981,399,500	1501.30	21	AZ	8,048	1,217,803,000	1513.17
CP	6,151	927,282,000	1507.53	22	EP	5,794	871,506,000	1504.15
BS	5,500	825,000,000	1500.00	23	YB	5,050	762,670,500	1510.24
BQ	5,302	804,458,000	1517.27	24	ZP	4,521	682,946,000	1510.61
PF	5,000	752,500,000	1505.00	25	TP	3,849	583,165,500	1515.11
YB	4,892	735,957,500	1504.41	26	DR	3,777	571,272,500	1512.50
LS	3,898	584,443,000	1499.34	27	FZ	3,252	494,379,000	1520.23
YU	3,324	500,157,500	1504.69	28	BR	3,184	482,560,000	1515.58
SH	2,720	409,555,000	1505.72	29	ES	2,500	375,000,000	1500.00
RF	2,160	328,900,000	1522.69	30	HP	2,276	342,073,000	1502.96
MG	1,559	234,691,500	1505.40	31	AK	2,202	332,885,000	1511.74
YJ	1,424	213,717,500	1500.83	32	BQ	2,117	318,659,500	1505.24
KI	1,126	169,236,500	1502.99	33	XA	1,902	285,871,500	1503.00
BR	1,112	166,387,000	1496.29	34	IF	1,528	232,156,500	1519.35
MU	1,096	165,391,000	1509.04	35	AT	713	108,199,500	1517.52
IF	997	151,049,500	1515.04	36	AI	668	100,677,000	1507.14
HP	958	144,093,000	1504.10	37	LS	633	95,281,000	1505.23
AT	761	114,335,000	1502.43	38	SS	600	90,000,000	1500.00
AI	755	113,950,000	1509.27	39	AG	582	87,361,000	1501.05
QA	669	100,458,000	1501.61	40	DX	425	64,130,000	1508.94
ES	508	76,707,500	1509.99	41	ZR	300	45,750,000	1525.00
AG	458	68,729,500	1500.64	42	FS	300	45,300,000	1510.00
DX	445	66,994,000	1505.48	43	KI	229	34,622,000	1511.88
HD	255	38,600,000	1513.73	44	HD	170	25,925,000	1525.00
EL	251	37,900,000	1509.96	45	YJ	94	14,290,000	1520.21
JB	200	30,175,000	1508.75	46	QA	67	10,217,500	1525.00
ZR	190	28,500,000	1500.00	47	RF	50	7,625,000	1525.00
AF	100	15,200,000	1520.00	48	SH	30	4,575,000	1525.00
TS	100	15,000,000	1500.00	49	PC	5	760,000	1520.00
CD	48	7,259,500	1512.40	50	SF	3	453,000	1510.00
RG	20	2,990,000	1495.00	51	IT	1	151,000	1510.00
PC	17	2,555,000	1502.94	52	 	 	 	 
FS	15	2,255,000	1503.33	53	 	 	 	 
IH	11	1,671,000	1519.09	54	 	 	 	 
IN	10	1,507,500	1507.50	55	 	 	 	 
SS	10	1,500,000	1500.00	56	 	 	 	 
SF	3	450,000	1500.00	57	 	 	 	 
PG	2	299,000	1495.00	58	 	 	 	 
AD	1	150,500	1505.00	59	 	 	 	 
