CUANToBrokerCode	CUAN	Start	2025-12-30	End	2025-12-30	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
AF	102,238	24,024,723,000	2349.88	1	AK	134,327	31,552,598,000	2348.94
CC	80,285	18,810,298,000	2342.94	2	YP	127,155	29,507,209,000	2320.57
XL	77,736	18,208,466,000	2342.35	3	CC	98,385	22,995,166,000	2337.26
AK	56,185	13,035,461,000	2320.10	4	ZP	74,233	17,384,603,000	2341.90
ZP	50,281	11,745,134,000	2335.90	5	PD	66,562	15,626,105,000	2347.60
BB	38,000	8,895,694,000	2340.97	6	XL	55,019	12,897,824,000	2344.25
OD	36,042	8,432,612,000	2339.66	7	HP	43,273	10,115,530,000	2337.61
YU	36,020	8,395,097,000	2330.68	8	EP	22,509	5,231,860,000	2324.34
YP	34,109	7,994,867,000	2343.92	9	XC	21,651	5,076,835,000	2344.85
XC	32,487	7,585,781,000	2335.02	10	MG	20,260	4,748,019,000	2343.54
PD	27,438	6,411,034,000	2336.55	11	BR	20,002	4,643,273,000	2321.40
IF	20,684	4,831,088,000	2335.66	12	AT	12,817	3,007,698,000	2346.65
HP	17,563	4,094,922,000	2331.56	13	NI	8,786	2,059,556,000	2344.13
CD	17,229	4,052,104,000	2351.91	14	XA	8,759	2,058,371,000	2350.01
SQ	15,103	3,533,302,000	2339.47	15	CD	7,394	1,744,846,000	2359.81
XA	14,489	3,396,445,000	2344.15	16	CP	7,151	1,684,397,000	2355.47
DP	12,500	2,900,000,000	2320.00	17	LG	6,062	1,422,756,000	2347.01
LG	10,111	2,351,368,000	2325.55	18	YB	5,288	1,237,641,000	2340.47
YJ	9,236	2,155,389,000	2333.68	19	SQ	4,758	1,115,797,000	2345.10
NI	8,763	2,044,258,000	2332.83	20	AI	3,659	856,158,000	2339.87
AZ	7,618	1,786,930,000	2345.67	21	AZ	2,957	691,696,000	2339.18
CP	6,949	1,636,993,000	2355.72	22	LS	1,900	450,100,000	2368.95
KZ	5,820	1,362,504,000	2341.07	23	YU	1,903	444,272,000	2334.59
LS	5,423	1,267,675,000	2337.59	24	KI	1,887	443,539,000	2350.50
EP	5,302	1,247,398,000	2352.69	25	BQ	1,718	404,902,000	2356.82
DR	4,564	1,064,109,000	2331.53	26	ES	1,700	398,300,000	2342.94
MG	4,374	1,023,483,000	2339.92	27	GR	1,606	378,103,000	2354.32
YB	3,730	879,717,000	2358.49	28	PC	1,500	352,500,000	2350.00
AT	3,687	868,109,000	2354.51	29	FZ	1,433	337,522,000	2355.35
BQ	3,559	839,047,000	2357.54	30	KK	1,375	322,654,000	2346.57
GR	3,578	837,245,000	2339.98	31	BK	1,328	313,351,000	2359.57
KK	3,241	756,742,000	2334.90	32	OD	1,215	284,936,000	2345.15
AI	2,722	632,241,000	2322.71	33	MI	1,201	279,531,000	2327.49
HD	2,400	553,330,000	2305.54	34	IU	944	223,796,000	2370.72
AO	1,912	450,110,000	2354.13	35	DR	891	208,059,000	2335.12
DH	1,724	400,720,000	2324.36	36	TP	636	146,968,000	2310.82
ES	1,601	377,680,000	2359.03	37	DH	436	102,690,000	2355.28
PC	1,506	354,416,000	2353.36	38	QA	421	96,863,000	2300.78
TP	1,412	325,886,000	2307.97	39	AO	404	94,943,000	2350.07
BK	1,144	267,696,000	2340.00	40	DX	313	72,367,000	2312.04
MI	1,050	249,375,000	2375.00	41	RG	200	46,400,000	2320.00
DX	1,043	244,150,000	2340.84	42	YJ	154	36,240,000	2353.25
FZ	853	199,407,000	2337.71	43	AG	140	32,855,000	2346.79
KI	536	125,033,000	2332.71	44	IF	40	9,420,000	2355.00
BR	503	118,190,000	2349.70	45	HD	20	4,700,000	2350.00
GA	500	116,500,000	2330.00	46	RF	10	2,350,000	2350.00
RF	419	97,846,000	2335.23	47	 	 	 	 
RG	355	81,500,000	2295.77	48	 	 	 	 
AG	206	48,102,000	2335.05	49	 	 	 	 
IU	90	20,730,000	2303.33	50	 	 	 	 
AN	30	6,990,000	2330.00	51	 	 	 	 
PO	25	5,760,000	2304.00	52	 	 	 	 
ZR	6	1,405,000	2341.67	53	 	 	 	 
SF	1	237,000	2370.00	54	 	 	 	 
