ANTMToBrokerCode	ANTM	Start	2025-10-13	End	2025-10-13	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
KZ	307,841	103,549,675,000	3363.74	1	CC	238,625	80,579,767,000	3376.84
YP	286,919	96,694,893,000	3370.11	2	YP	228,379	76,987,059,000	3371.02
XL	213,717	72,041,539,000	3370.88	3	XL	207,570	69,963,574,000	3370.60
CC	171,992	58,027,362,000	3373.84	4	AK	151,274	50,900,429,000	3364.78
PD	124,345	41,920,444,000	3371.30	5	MG	140,591	47,272,705,000	3362.43
CP	101,719	34,317,873,000	3373.79	6	ZP	126,918	42,598,469,000	3356.38
AK	86,209	29,073,249,000	3372.41	7	PD	71,820	24,210,431,000	3370.99
MG	74,655	25,144,508,000	3368.09	8	NI	69,357	23,365,945,000	3368.94
YU	67,880	22,807,415,000	3359.96	9	CP	65,609	22,124,189,000	3372.13
BK	58,939	19,995,011,000	3392.49	10	XC	65,018	21,869,651,000	3363.63
XC	56,805	19,065,291,000	3356.27	11	SQ	63,235	21,356,172,000	3377.27
SQ	44,946	15,147,892,000	3370.24	12	YU	61,467	20,765,223,000	3378.27
DR	43,158	14,527,094,000	3366.03	13	KK	49,682	16,740,497,000	3369.53
NI	35,380	11,901,604,000	3363.94	14	OD	49,348	16,711,532,000	3386.47
ZP	29,089	9,820,474,000	3376.01	15	DR	48,407	16,308,193,000	3368.97
KK	28,858	9,770,648,000	3385.77	16	BK	45,073	15,179,660,000	3367.79
OD	28,525	9,588,820,000	3361.55	17	AI	24,450	8,232,873,000	3367.23
HD	23,120	7,812,936,000	3379.30	18	GR	23,881	8,035,350,000	3364.75
LG	22,364	7,540,201,000	3371.58	19	HD	23,519	7,928,583,000	3371.14
EP	21,304	7,182,471,000	3371.42	20	BQ	20,168	6,793,018,000	3368.22
BQ	21,037	7,087,020,000	3368.84	21	BB	20,157	6,792,909,000	3370.00
TP	14,914	5,035,670,000	3376.47	22	LG	17,972	6,047,060,000	3364.71
AT	14,554	4,890,667,000	3360.36	23	AZ	17,555	5,917,703,000	3370.95
AO	11,454	3,879,746,000	3387.24	24	EP	17,530	5,908,544,000	3370.53
YJ	11,059	3,731,447,000	3374.13	25	AT	14,614	4,913,974,000	3362.51
DX	10,231	3,444,401,000	3366.63	26	TP	13,838	4,654,086,000	3363.26
YB	10,016	3,385,583,000	3380.17	27	DH	11,531	3,884,982,000	3369.16
BB	8,639	2,902,089,000	3359.29	28	IF	11,413	3,854,260,000	3377.08
GR	8,500	2,856,659,000	3360.78	29	AO	10,110	3,402,183,000	3365.17
DH	7,597	2,562,551,000	3373.11	30	YB	9,007	3,035,714,000	3370.39
IF	7,094	2,401,663,000	3385.48	31	YO	8,926	3,016,136,000	3379.05
AZ	7,084	2,389,619,000	3373.26	32	CD	6,739	2,279,786,000	3382.97
BR	3,670	1,228,184,000	3346.55	33	YJ	5,529	1,863,603,000	3370.60
XA	3,622	1,219,882,000	3367.98	34	PF	5,000	1,695,000,000	3390.00
AG	3,525	1,181,835,000	3352.72	35	DX	4,689	1,574,122,000	3357.05
SH	3,300	1,117,715,000	3387.02	36	ES	4,624	1,556,614,000	3366.38
FS	3,010	1,017,300,000	3379.73	37	BR	4,310	1,449,045,000	3362.05
IU	2,753	927,033,000	3367.36	38	XA	4,014	1,355,856,000	3377.82
KI	2,356	791,473,000	3359.39	39	PG	3,000	1,014,000,000	3380.00
ZR	2,202	746,476,000	3389.99	40	SA	3,000	1,008,000,000	3360.00
HP	2,046	688,725,000	3366.20	41	HP	2,722	916,786,000	3368.06
CD	1,855	620,668,000	3345.92	42	AG	2,641	895,386,000	3390.33
ES	1,000	337,000,000	3370.00	43	FS	2,360	799,420,000	3387.37
AH	1,000	336,500,000	3365.00	44	SH	2,038	691,276,000	3391.93
RO	591	195,956,000	3315.67	45	ZR	2,010	682,380,000	3394.93
SF	453	152,587,000	3368.37	46	KI	1,928	651,177,000	3377.47
RF	401	133,946,000	3340.30	47	SS	1,560	529,650,000	3395.19
DU	302	102,195,000	3383.94	48	AF	1,162	393,980,000	3390.53
PC	256	86,490,000	3378.52	49	IT	1,100	374,000,000	3400.00
MU	211	70,765,000	3353.79	50	PC	1,043	352,195,000	3376.75
PP	203	68,411,000	3370.00	51	AH	1,000	336,500,000	3365.00
AI	128	42,936,000	3354.38	52	RF	931	313,851,000	3371.12
SA	60	20,010,000	3335.00	53	KZ	844	283,040,000	3353.55
LS	52	17,379,000	3342.12	54	LS	729	248,358,000	3406.83
RS	50	16,800,000	3360.00	55	RO	680	227,686,000	3348.32
AD	50	16,750,000	3350.00	56	RS	500	168,500,000	3370.00
AF	25	8,350,000	3340.00	57	IU	400	135,200,000	3380.00
JB	22	7,340,000	3336.36	58	MI	307	103,759,000	3379.77
QA	13	4,369,000	3360.77	59	SF	295	100,176,000	3395.80
GI	6	2,046,000	3410.00	60	RG	281	93,738,000	3335.87
RG	4	1,352,000	3380.00	61	MU	201	68,135,000	3389.80
 	 	 	 	62	TF	100	33,600,000	3360.00
 	 	 	 	63	JB	65	21,903,000	3369.69
 	 	 	 	64	BS	60	20,350,000	3391.67
 	 	 	 	65	RB	60	20,280,000	3380.00
 	 	 	 	66	OK	50	16,860,000	3372.00
 	 	 	 	67	DD	42	14,324,000	3410.48
 	 	 	 	68	EL	19	6,438,000	3388.42
 	 	 	 	69	DU	10	3,380,000	3380.00
 	 	 	 	70	ID	9	3,024,000	3360.00
 	 	 	 	71	GI	6	2,052,000	3420.00
 	 	 	 	72	FZ	5	1,679,000	3358.00
 	 	 	 	73	AN	3	1,008,000	3360.00
