ANTMToBrokerCode	ANTM	Start	2025-10-06	End	2025-10-06	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
YP	173,146	55,762,978,000	3220.58	1	CC	214,367	68,901,004,000	3214.16
XL	141,186	45,325,162,000	3210.32	2	AK	143,906	46,264,124,000	3214.88
CC	93,373	30,074,345,000	3220.88	3	YP	131,863	42,521,092,000	3224.64
XC	91,566	29,483,066,000	3219.87	4	YU	87,035	27,859,959,000	3201.01
PD	67,504	21,728,456,000	3218.84	5	XL	81,274	26,134,528,000	3215.61
ZP	65,141	20,904,473,000	3209.11	6	XC	68,193	21,929,754,000	3215.84
MG	55,685	17,867,272,000	3208.63	7	ZP	53,895	17,353,561,000	3219.88
YU	53,634	17,339,143,000	3232.86	8	PD	43,717	14,090,636,000	3223.15
CP	46,518	14,935,111,000	3210.61	9	KK	39,867	12,770,797,000	3203.35
NI	34,824	11,198,578,000	3215.76	10	GR	23,572	7,579,506,000	3215.47
GR	34,811	11,184,523,000	3212.93	11	SQ	20,028	6,433,001,000	3212.00
KK	25,572	8,229,921,000	3218.33	12	AI	18,604	6,042,231,000	3247.81
SQ	24,596	7,909,714,000	3215.85	13	NI	17,403	5,599,796,000	3217.72
DR	22,989	7,398,708,000	3218.37	14	MG	17,016	5,467,852,000	3213.36
LG	19,095	6,138,038,000	3214.47	15	BK	15,175	4,884,911,000	3219.05
OD	15,396	4,942,020,000	3209.94	16	IH	13,600	4,352,000,000	3200.00
BQ	14,683	4,701,772,000	3202.19	17	AZ	12,879	4,173,438,000	3240.50
AT	14,336	4,614,294,000	3218.68	18	BQ	11,798	3,820,482,000	3238.25
IN	11,000	3,531,500,000	3210.45	19	DX	11,620	3,716,120,000	3198.04
AG	10,850	3,489,608,000	3216.23	20	CP	11,089	3,585,059,000	3232.99
XA	10,064	3,254,138,000	3233.44	21	AT	10,783	3,470,935,000	3218.90
EP	9,220	2,963,443,000	3214.15	22	OD	10,424	3,366,249,000	3229.33
AI	9,190	2,939,367,000	3198.44	23	AG	9,634	3,094,662,000	3212.23
AZ	8,899	2,857,312,000	3210.82	24	DR	7,165	2,306,197,000	3218.70
IF	6,241	1,994,931,000	3196.49	25	EP	6,653	2,143,866,000	3222.40
DH	6,123	1,966,580,000	3211.79	26	KZ	5,908	1,884,652,000	3190.00
AK	5,968	1,940,848,000	3252.09	27	DH	3,688	1,184,350,000	3211.36
HP	5,843	1,880,415,000	3218.24	28	LG	3,357	1,081,618,000	3221.98
HD	3,909	1,259,341,000	3221.64	29	KI	2,740	886,018,000	3233.64
YJ	3,171	1,020,717,000	3218.91	30	HD	2,303	754,757,000	3277.28
CD	3,175	1,019,793,000	3211.95	31	PC	2,000	641,000,000	3205.00
PG	3,000	966,000,000	3220.00	32	SA	2,000	638,000,000	3190.00
YB	2,959	953,265,000	3221.58	33	YJ	1,593	516,639,000	3243.18
TP	2,439	781,428,000	3203.89	34	TP	1,573	507,082,000	3223.66
AO	2,250	719,982,000	3199.92	35	YB	1,470	475,228,000	3232.84
KI	2,038	653,053,000	3204.38	36	XA	1,466	472,314,000	3221.79
SA	2,000	646,000,000	3230.00	37	PP	1,407	450,233,000	3199.95
ES	2,016	645,120,000	3200.00	38	IF	1,169	382,553,000	3272.48
DX	1,960	633,641,000	3232.86	39	CD	860	277,895,000	3231.34
DP	1,857	595,428,000	3206.40	40	LS	711	229,002,000	3220.84
LS	1,240	399,990,000	3225.73	41	ZR	500	159,500,000	3190.00
PC	1,100	353,501,000	3213.65	42	HP	467	150,544,000	3223.64
ZR	1,075	347,275,000	3230.47	43	RO	312	100,373,000	3217.08
FS	580	188,705,000	3253.53	44	IT	300	98,550,000	3285.00
RS	500	159,500,000	3190.00	45	SF	250	80,250,000	3210.00
PP	467	148,973,000	3190.00	46	FZ	100	32,100,000	3210.00
BK	438	139,722,000	3190.00	47	FS	40	13,160,000	3290.00
SS	420	135,860,000	3234.76	48	AO	40	12,900,000	3225.00
IT	350	112,100,000	3202.86	49	DD	23	7,521,000	3270.00
RO	310	99,000,000	3193.55	50	QA	8	2,576,000	3220.00
BS	300	98,400,000	3280.00	51	ES	3	975,000	3250.00
MU	300	96,200,000	3206.67	52	RB	1	320,000	3200.00
SF	284	90,611,000	3190.53	53	 	 	 	 
FZ	135	43,175,000	3198.15	54	 	 	 	 
JB	33	10,557,000	3199.09	55	 	 	 	 
RB	26	8,321,000	3200.38	56	 	 	 	 
DD	24	7,680,000	3200.00	57	 	 	 	 
BR	20	6,380,000	3190.00	58	 	 	 	 
QA	18	5,796,000	3220.00	59	 	 	 	 
RG	2	640,000	3200.00	60	 	 	 	 
