BUMIToBrokerCode	BUMI	Start	2026-02-10	End	2026-02-10	Mode	Value
Investor	All	Board	RG
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
MG	11,395,119	286,350,346,400	251.29	1	YU	16,087,228	403,168,011,400	250.61
XL	9,376,881	237,339,067,200	253.11	2	AK	13,156,613	332,747,332,800	252.91
YP	7,160,756	180,660,358,600	252.29	3	XL	9,761,777	246,583,112,800	252.60
AK	6,818,073	173,219,316,800	254.06	4	MG	9,337,785	235,774,092,800	252.49
CC	6,648,174	167,556,381,600	252.03	5	CC	6,131,235	154,718,849,400	252.35
YU	5,236,244	132,414,923,400	252.88	6	YP	5,620,044	142,034,734,800	252.73
CP	5,075,952	127,519,303,000	251.22	7	XC	4,215,944	106,594,006,600	252.84
PD	4,446,831	111,612,476,000	250.99	8	CP	4,141,001	104,168,273,200	251.55
XC	3,914,868	99,564,637,800	254.32	9	PD	3,026,755	76,385,841,400	252.37
RF	3,505,970	88,809,483,600	253.31	10	AZ	2,775,362	70,638,315,200	254.52
LG	3,324,537	83,298,982,400	250.56	11	KK	2,026,004	51,314,108,800	253.28
AZ	2,709,177	68,627,686,400	253.32	12	YB	1,794,210	45,045,230,600	251.06
NI	2,613,134	66,174,409,400	253.24	13	DR	1,712,134	43,281,228,000	252.79
ZP	2,280,228	57,289,252,800	251.24	14	LG	1,646,405	41,841,658,200	254.14
KK	2,150,600	54,438,539,800	253.13	15	YJ	1,653,364	41,011,200,200	248.05
SS	2,030,300	51,525,500,000	253.78	16	SQ	1,528,537	38,769,872,000	253.64
YJ	1,975,619	49,001,419,600	248.03	17	RB	1,501,327	37,883,675,600	252.33
YB	1,793,623	45,194,915,800	251.98	18	HD	1,464,596	36,853,288,800	251.63
DR	1,708,272	42,704,069,000	249.98	19	ZP	1,325,491	33,107,427,600	249.77
GR	1,684,157	42,591,409,400	252.89	20	BQ	1,237,755	31,228,920,800	252.30
HD	1,593,517	40,097,699,600	251.63	21	NI	1,162,828	29,486,825,200	253.58
