BRISToBrokerCode	BRIS	Start	2026-01-05	End	2026-01-05	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
CC	48,193	10,442,398,960	2166.78	1	CC	72,131	15,583,735,960	2160.47
AK	40,641	8,794,332,000	2163.91	2	AK	24,331	5,253,996,000	2159.38
XL	23,868	5,139,586,000	2153.34	3	XL	20,974	4,512,972,000	2151.70
YP	14,839	3,201,421,120	2157.32	4	NI	15,849	3,447,318,000	2175.10
PP	13,810	3,022,708,000	2188.78	5	PD	12,875	2,797,617,000	2172.91
NI	10,072	2,168,482,000	2152.98	6	KZ	10,801	2,318,484,000	2146.55
XC	10,091	2,166,887,000	2147.35	7	XC	10,647	2,297,416,000	2157.81
IH	8,000	1,720,000,000	2150.00	8	YP	10,369	2,252,449,120	2172.12
PD	7,018	1,507,989,000	2148.74	9	DP	9,749	2,096,035,000	2150.00
SQ	6,876	1,494,729,000	2173.84	10	SQ	5,168	1,117,792,000	2162.91
ZP	6,548	1,410,724,000	2154.43	11	OD	3,975	865,087,000	2176.32
OD	4,850	1,041,695,000	2147.82	12	KK	3,021	650,341,000	2152.73
YU	3,359	722,427,000	2150.72	13	EP	2,935	632,143,000	2153.81
CP	3,123	675,550,000	2163.14	14	BB	2,902	629,635,000	2169.66
EP	2,526	543,890,000	2153.17	15	LG	2,318	496,732,000	2142.93
AZ	2,459	531,976,000	2163.38	16	AT	1,776	384,925,000	2167.37
AT	2,422	517,789,000	2137.86	17	DR	1,398	303,766,000	2172.86
KK	1,999	429,155,000	2146.85	18	MG	1,325	283,600,000	2140.38
DR	1,676	361,601,000	2157.52	19	CP	1,214	265,508,000	2187.05
MG	1,542	330,056,000	2140.44	20	HP	1,177	251,810,000	2139.42
LS	1,055	225,470,000	2137.16	21	YU	596	129,375,000	2170.72
DH	838	181,051,000	2160.51	22	BR	600	127,800,000	2130.00
GR	809	174,416,000	2155.95	23	GR	580	125,524,000	2164.21
YB	596	128,534,000	2156.61	24	SH	578	123,692,000	2140.00
PG	500	109,000,000	2180.00	25	AZ	551	117,977,000	2141.14
BQ	476	102,481,000	2152.96	26	YJ	503	107,639,000	2139.94
AG	404	86,823,000	2149.08	27	AI	375	80,980,000	2159.47
MU	400	85,400,000	2135.00	28	IF	333	71,606,000	2150.33
LG	309	66,531,000	2153.11	29	PG	255	55,845,000	2190.00
XA	239	51,437,000	2152.18	30	KI	249	54,489,000	2188.31
HD	200	42,600,000	2130.00	31	HD	200	43,600,000	2180.00
AI	150	32,660,000	2177.33	32	BQ	197	42,356,000	2150.05
TP	125	26,680,000	2134.40	33	DH	184	39,985,000	2173.10
DX	102	22,187,000	2175.20	34	YB	131	28,233,000	2155.19
PC	104	22,161,000	2130.87	35	ZP	70	15,051,000	2150.14
YJ	102	21,728,000	2130.20	36	TP	64	13,797,000	2155.78
KI	96	20,624,000	2148.33	37	ZR	50	10,900,000	2180.00
HP	77	16,563,000	2151.04	38	XA	48	10,314,000	2148.75
CD	75	15,975,000	2130.00	39	MU	37	7,992,000	2160.00
BK	25	5,450,000	2180.00	40	PC	32	6,823,000	2132.19
ZR	25	5,325,000	2130.00	41	DU	30	6,540,000	2180.00
PO	22	4,774,000	2170.00	42	DX	25	5,460,000	2184.00
IF	22	4,694,000	2133.64	43	ES	20	4,360,000	2180.00
GI	4	860,000	2150.00	44	LS	12	2,568,000	2140.00
SH	1	218,000	2180.00	45	CD	12	2,556,000	2130.00
 	 	 	 	46	RO	1	214,000	2140.00
