BRISToBrokerCode	BRIS	Start	2026-01-26	End	2026-01-26	Mode	Value
Investor	All	Board	All Trade
BY	BLot	BVal	BAvg	#	SL	SLot	SVal	SAvg
YU	165,163	36,969,304,000	2238.35	1	YU	170,106	38,098,745,000	2239.71
BB	97,587	21,811,988,000	2235.13	2	BK	90,618	20,101,810,000	2218.30
CC	75,756	16,923,559,000	2233.96	3	ZP	65,495	14,619,608,000	2232.17
AK	24,722	5,519,603,000	2232.67	4	CC	35,997	8,051,636,000	2236.75
NI	23,263	5,166,984,000	2221.12	5	XL	20,888	4,680,413,000	2240.72
ZP	18,094	4,050,551,000	2238.62	6	CP	19,256	4,334,516,000	2251.00
XL	18,063	4,028,521,000	2230.26	7	YP	9,572	2,136,472,000	2232.00
PD	11,885	2,653,743,000	2232.85	8	SQ	8,906	2,002,802,000	2248.82
YP	8,985	2,001,608,000	2227.72	9	XC	7,963	1,780,208,000	2235.60
CP	8,288	1,856,687,000	2240.21	10	NI	6,947	1,552,850,000	2235.28
OD	7,409	1,659,696,000	2240.11	11	PD	6,106	1,366,638,000	2238.19
XC	4,138	922,454,000	2229.23	12	AK	5,419	1,217,783,000	2247.25
AZ	2,971	656,245,000	2208.84	13	DH	5,318	1,181,219,000	2221.17
KK	2,689	596,326,000	2217.65	14	TP	4,393	978,462,000	2227.32
RX	2,592	579,629,000	2236.22	15	OD	3,391	761,967,000	2247.03
BK	1,813	407,925,000	2250.00	16	EP	3,174	712,051,000	2243.39
DR	956	212,405,000	2221.81	17	KZ	2,981	666,009,000	2234.18
KI	800	177,890,000	2223.63	18	GR	2,098	471,796,000	2248.79
SQ	740	164,659,000	2225.12	19	BS	2,000	450,000,000	2250.00
AT	726	160,800,000	2214.88	20	DR	1,584	355,260,000	2242.80
DH	690	154,084,000	2233.10	21	KK	1,312	292,713,000	2231.04
LG	549	122,019,000	2222.57	22	BQ	1,137	255,098,000	2243.61
FZ	500	111,000,000	2220.00	23	PP	1,112	250,200,000	2250.00
IF	411	90,456,000	2200.88	24	BB	1,030	229,871,000	2231.76
YJ	338	75,318,000	2228.34	25	AZ	563	125,962,000	2237.34
YB	324	71,807,000	2216.27	26	YB	553	124,797,000	2256.73
EP	251	56,201,000	2239.08	27	AT	555	124,269,000	2239.08
MU	225	49,500,000	2200.00	28	FZ	500	112,500,000	2250.00
MG	216	48,300,000	2236.11	29	XA	405	90,877,000	2243.88
CD	205	46,125,000	2250.00	30	LS	320	71,951,000	2248.47
XA	199	44,319,000	2227.09	31	LG	303	67,882,000	2240.33
TP	116	26,036,000	2244.48	32	MG	302	67,699,000	2241.69
DX	114	25,596,000	2245.26	33	MU	225	50,400,000	2240.00
HP	114	25,100,000	2201.75	34	KI	156	34,930,000	2239.10
GR	106	23,692,000	2235.09	35	HD	146	32,412,000	2220.00
IH	102	22,548,000	2210.59	36	AG	132	29,700,000	2250.00
BQ	55	12,267,000	2230.36	37	DX	110	24,860,000	2260.00
AI	50	11,275,000	2255.00	38	AF	108	24,084,000	2230.00
RG	35	7,735,000	2210.00	39	HP	100	22,600,000	2260.00
AG	20	4,500,000	2250.00	40	AI	7	1,561,000	2230.00
MI	18	3,960,000	2200.00	41	PC	4	903,000	2257.50
PC	11	2,435,000	2213.64	42	IF	2	444,000	2220.00
LS	4	884,000	2210.00	43	 	 	 	 
TF	1	224,000	2240.00	44	 	 	 	 
