Stock	Time	Last	Chg	Chg%	TVal	%Val	TLot	%Lot	TFrq	%Frq	Type	Stock Name	Corp. Action	
PYFA-W	11:35:44	114	0	0.0	13287500	99	1170	98	14	92	WARI	Waran PYFA  Pyridam Farma Tbk	End Waran 2029-04-24	
CSAP	11:54:38	318	10	3.2	13218200	97	421	97	29	89	ORDI_PREOPEN	Catur Sentosa Adiprana Tbk.	-	
AMRTBQCH6A	11:58:55	3	-1	-25.0	13209000	70	36272	64	52	55	S_WARI	SW Call 10:1 x2850 AMRT 26 Mar 26 KISI (BQ)	-	
KLBFBQCJ6A	11:45:22	14	-2	-12.5	12980500	44	8998	42	25	28	S_WARI	SW Call 4:1 x1440 KLBF 27 Apr 26 KISI (BQ)	-	
ANTMBQCJ6A	10:08:53	64	3	4.9	12916800	28	2024	27	4	50	S_WARI	SW Call 10:1 x4250 ANTM 27 Apr 26 KISI (BQ)	-	
AKPI	11:46:28	545	5	0.9	12612000	27	234	27	41	39	ORDI_PREOPEN	Argha Karya Prima Industry Tbk.	-	
GRPH	11:49:18	57	1	1.8	12132000	84	2159	83	79	64	ORDI_PREOPEN	Griptha Putra Persada Tbk.	-	
BTON	11:46:15	396	4	1.0	12086000	78	307	78	24	66	ORDI_PREOPEN	Betonjaya Manunggal Tbk.	-	
ADROZPCK6A	11:46:44	91	3	3.4	11809000	97	1284	97	5	20	S_WARI	SW Call 7,4126:1 x1668 ADRO 20 May 26 Maybank (ZP)	-	
GGRMZPCG6A	11:59:41	185	-1	-0.5	11763900	5	639	4	13	46	S_WARI	SW Call 37,8552:1 x9227 GGRM 24 Feb 26 Maybank (ZP)	-	
ASIIZPCM6A	11:20:43	41	1	2.5	11713400	87	2800	86	8	62	S_WARI	SW Call 30:1 x6400 ASII 25 Jun 26 Maybank (ZP)	-	
URBN	11:33:15	182	-2	-1.1	11656100	49	633	47	37	32	ORDI_PREOPEN	Urban Jakarta Propertindo Tbk.	-	
RELI	11:18:32	500	0	0.0	11254000	31	228	30	21	23	ORDI_PREOPEN	Reliance Sekuritas Indonesia Tbk.	-	
CAMP	11:41:48	218	-2	-0.9	11179800	31	514	30	50	60	ORDI_PREOPEN	Campina Ice Cream Industry Tbk.	-	
BATA	11:55:01	63	0	0.0	11106900	0	1763	0	33	0	WATCH_CALL	Sepatu Bata Tbk.	-	
SCMAYUCK6A	11:21:35	57	-8	-12.3	11011400	50	2002	50	4	75	S_WARI	SW Call 1,4635:1 x293 SCMA 25 May 26 CGS (YU)	-	
MBMABQCK6A	11:01:21	31	1	3.3	10935600	18	3516	17	7	28	S_WARI	SW Call 5:1 x1238 MBMA 21 May 26 KISI (BQ)	-	
SMGRBQCJ6A	11:32:53	18	2	12.5	10780400	24	6312	23	12	33	S_WARI	SW Call 12:1 x4540 SMGR 27 Apr 26 KISI (BQ)	-	
NICK	10:44:10	1225	-25	-2.0	10748500	62	87	60	13	46	ORDI_PREOPEN	Charnic Capital Tbk.	-	
ABBA	11:55:01	51	0	0.0	10642000	22	2078	21	47	17	WATCH_CALL	Mahaka Media Tbk.	-	
EMTKBQCH6A	11:58:46	5	0	0.0	10534300	54	23500	48	65	53	S_WARI	SW Call 4,9788:1 x1713 EMTK 26 Mar 26 KISI (BQ)	-	
AMRTBQCJ6A	09:59:52	17	-1	-5.6	10390200	0	6053	0	10	0	S_WARI	SW Call 10:1 x3108 AMRT 27 Apr 26 KISI (BQ)	-	
EKAD	11:47:14	187	0	0.0	10246100	8	549	8	31	35	ORDI_PREOPEN	Ekadharma International Tbk.	-	
ARTOBQCJ6A	11:56:06	6	0	0.0	10184000	43	18917	38	51	70	S_WARI	SW Call 10:1 x3550 ARTO 27 Apr 26 KISI (BQ)	-	
KLBFZPCJ6A	11:54:06	5	1	25.0	10168300	95	20601	93	68	83	S_WARI	SW Call 5:1 x1600 KLBF 27 Apr 26 Maybank (ZP)	-	
BUKADRCK6A	11:55:22	6	0	0.0	10153500	97	17030	96	51	90	S_WARI	SW Call 2:1 x210 BUKA 20 May 26 RHB (DR)	-	
ERAAHDCN6A	11:50:37	31	1	3.3	10078100	90	3262	89	5	60	S_WARI	SW Call 3:1 x490 ERAA 9 Jul 26 KGI (HD)	-	
CTRAZPCG6A	11:50:23	2	0	0.0	10005300	27	49744	24	105	43	S_WARI	SW Call 4:1 x1060 CTRA 24 Feb 26 Maybank (ZP)	-	
MTELHDCM6A	11:21:11	10	1	11.1	10001000	100	10001	99	3	66	S_WARI	SW Call 4:1 x651 MTEL 5 Jun 26 KGI (HD)	-	
HRUMHDCK6A	11:21:46	33	2	6.5	9899100	35	2807	34	23	43	S_WARI	SW Call 3:1 x1257 HRUM 6 May 26 KGI (HD)	-	
MERK	11:46:58	3160	-10	-0.3	9868000	45	31	45	14	42	ORDI_PREOPEN	Merck Tbk.	-	
INDFBQCK6A	11:45:18	21	0	0.0	9857500	9	4694	8	20	20	S_WARI	SW Call 20:1 x12070 INDF 21 May 26 KISI (BQ)	-	
IDPR	11:58:51	284	-4	-1.4	9857400	29	350	28	32	40	ORDI_PREOPEN	Indonesia Pondasi Raya Tbk.	-	
ENRGDRCJ6A	11:23:50	280	42	17.6	9495000	50	339	49	10	70	S_WARI	SW Call 3:1 x490 ENRG 20 Apr 26 RHB (DR)	-	
PRAY	11:37:27	785	20	2.6	9482000	100	123	100	13	100	ORDI_PREOPEN	Famon Awal Bros Sedaya Tbk.	-	
MREI	11:22:04	1115	-35	-3.0	9332500	22	83	21	16	18	ORDI_PREOPEN	Maskapai Reasuransi Indonesia Tbk.	-	
XPSG	10:35:54	352	-60	-14.6	9329400	9	226	9	13	23	MUTI	ETF ACTIVE PINNACLE ESG STOCK	-	
GTBO	11:55:53	256	0	0.0	9291400	67	360	66	63	68	ORDI_PREOPEN	Garda Tujuh Buana Tbk	-	
BBTNZPCG6A	11:54:33	30	4	15.4	9183500	49	3145	50	30	36	S_WARI	SW Call 5:1 x1250 BBTN 24 Feb 26 Maybank (ZP)	-	
BUDI	11:18:59	214	-2	-0.9	9039800	79	420	79	33	45	ORDI_PREOPEN	Budi Starch & Sweetener Tbk.	-	
CSIS-W	11:38:58	145	9	6.6	8969500	87	617	86	26	53	WARI	Waran CSIS  Cahayasakti Investindo Sukses Tbk.	End Waran 2028-12-28	
HELI	11:58:43	210	2	1.0	8664800	21	414	20	39	46	ORDI_PREOPEN	Jaya Trishindo Tbk.	-	
CMRYHDCN6A	11:50:09	45	-7	-13.5	8575200	71	1779	70	8	37	S_WARI	SW Call 15:1 x6008 CMRY 26 Jun 26 KGI (HD)	-	
MEDCDRCH6A	11:00:02	60	1	1.7	8298000	85	1345	84	6	33	S_WARI	SW Call 2:1 x1660 MEDC 11 Mar 26 RHB (DR)	-	
SCMADRCK6A	10:25:06	60	1	1.7	8241400	2	1374	1	2	50	S_WARI	SW Call 0,9757:1 x312 SCMA 20 May 26 RHB (DR)	-	
ARKA	11:55:01	36	0	0.0	8092800	0	2248	0	58	0	WATCH_CALL	Arkha Jayanti Persada Tbk.	-	
LTLS	11:56:29	815	0	0.0	8063000	71	99	70	27	77	ORDI_PREOPEN	Lautan Luas Tbk.	-	
BTPN	11:14:58	2100	0	0.0	8013000	19	38	18	11	27	ORDI_PREOPEN	Bank SMBC Indonesia Tbk.	-	
LIFE	11:01:44	8000	-250	-3.0	8000000	0	10	0	6	0	ORDI_PREOPEN	MSIG Life Insurance Indonesia Tbk.	-	
ASIIBQCM6A	11:46:24	35	0	0.0	7916600	3	2215	2	12	25	S_WARI	SW Call 20:1 x8950 ASII 25 Jun 26 KISI (BQ)	-	
KPIGHDCQ6A	11:14:27	38	-5	-11.6	7887900	100	1925	100	12	100	S_WARI	SW Call 1,2:1 x328 KPIG 10 Aug 26 KGI (HD)	-	
GOLD	11:42:06	318	0	0.0	7816400	30	248	29	30	50	ORDI_PREOPEN	Visi Telekomunikasi Infrastruktur Tbk.	-	
JSMRZPCG6A	11:51:28	27	0	0.0	7810800	0	3004	0	5	0	S_WARI	SW Call 17:1 x3350 JSMR 24 Feb 26 Maybank (ZP)	-	
TCID	11:53:47	3100	-10	-0.3	7805000	20	26	19	13	23	ORDI_PREOPEN	Mandom Indonesia Tbk.	-	
SCMADRCN6A	11:21:01	25	0	0.0	7770200	8	3251	8	9	44	S_WARI	SW Call 1:1 x454 SCMA 29 Jun 26 RHB (DR)	-	
PGLI	11:39:36	220	-2	-0.9	7728200	12	351	12	29	37	ORDI_PREOPEN	Pembangunan Graha Lestari Indah Tbk.	-	
WIFIZPCV6A	11:44:44	42	1	2.4	7553300	17	1755	16	19	5	S_WARI	SW Call 17:1 x9900 WIFI 27 Okt 26 Maybank (ZP)	-	
CCSI	11:45:53	318	2	0.6	7409400	11	235	11	30	36	ORDI_PREOPEN	Communication Cable Systems Indonesia Tbk.	-	
MBMAZPCK6A	11:36:57	45	1	2.3	7307700	57	1572	56	9	44	S_WARI	SW Call 8:1 x400 MBMA 20 May 26 Maybank (ZP)	-	
DAYA	11:59:42	1295	15	1.2	7265000	76	57	75	14	92	ORDI_PREOPEN	Duta Intidaya Tbk.	-	
GDYR	11:04:20	1095	-15	-1.4	7257000	33	66	33	10	20	ORDI_PREOPEN	Goodyear Indonesia Tbk.	-	
GLVA	11:18:27	382	8	2.1	7232000	80	194	79	31	67	ORDI_PREOPEN	Galva Technologies Tbk.	-	
AMRTHDCN6A	11:20:37	31	-1	-3.1	7151700	100	2235	99	2	50	S_WARI	SW Call 12:1 x4250 AMRT 27 Jul 26 KGI (HD)	-	
JPFAZPCN6A	10:57:17	23	-2	-8.0	7048900	80	3041	80	13	61	S_WARI	SW Call 10:1 x3000 JPFA 28 Jul 26 Maybank (ZP)	-	
FOOD	11:55:01	276	24	9.5	6927600	55	251	54	16	37	WATCH_CALL	Sentra Food Indonesia Tbk.	-	
UNTRZPCJ6A	11:44:27	162	30	22.7	6883200	34	455	32	37	43	S_WARI	SW Call 32,2691:1 x26402 UNTR 27 Apr 26 Maybank (ZP)	-	
TKIMZPCG6A	10:26:23	67	8	13.6	6882900	100	1087	100	3	100	S_WARI	SW Call 20:1 x6100 TKIM 24 Feb 26 Maybank (ZP)	-	
JSMRZPCU6A	10:51:40	50	1	2.0	6865000	64	1401	64	4	75	S_WARI	SW Call 12:1 x4400 JSMR 25 Sep 26 Maybank (ZP)	-	
ERAAZPCH6A	10:39:57	6	-1	-14.3	6756600	3	11217	2	33	24	S_WARI	SW Call 5:1 x550 ERAA 26 Mar 26 Maybank (ZP)	-	
UNVRDRCX6A	11:39:50	51	0	0.0	6676200	57	1298	56	8	75	S_WARI	SW Call 5:1 x3480 UNVR 23 Nov 26 RHB (DR)	-	
RANC	11:56:26	740	-5	-0.7	6513500	76	88	76	19	42	ORDI_PREOPEN	Supra Boga Lestari Tbk.	-	
MTMH	11:45:35	1055	0	0.0	6497500	22	60	21	12	16	ORDI_PREOPEN	Murni Sadar Tbk.	-	
BRMSZPCN6A	11:40:58	45	-1	-2.2	6467500	23	1419	22	11	36	S_WARI	SW Call 7:1 x1050 BRMS 28 Jul 26 Maybank (ZP)	-	
SOSS	11:55:01	765	-65	-7.8	6457500	6	86	5	17	5	WATCH_CALL	Shield On Service Tbk.	-	
SCMAZPCQ6A	10:56:44	16	0	0.0	6446400	53	3904	51	13	23	S_WARI	SW Call 3:1 x430 SCMA 26 Aug 26 Maybank (ZP)	-	
HRUMZPCG6A	09:48:01	52	5	10.6	6400700	2	1219	1	3	33	S_WARI	SW Call 5:1 x900 HRUM 24 Feb 26 Maybank (ZP)	-	
APII	11:46:44	200	2	1.0	6354400	28	317	28	26	53	ORDI_PREOPEN	Arita Prima Indonesia Tbk.	-	
KBLM	11:04:19	338	-2	-0.6	6177200	21	182	20	28	28	ORDI_PREOPEN	Kabelindo Murni Tbk.	-	
BBRIHDCQ7A	11:25:09	68	-1	-1.4	6113200	100	899	100	3	100	S_WARI	SW Call 7,71005:1 x5108 BBRI 9 Aug 27 KGI (HD)	-	
SURE	10:05:11	2780	0	0.0	6112000	18	22	18	7	14	ORDI_PREOPEN	Super Energy Tbk.	-	
MDKADRCK6A	10:48:58	106	4	3.9	6055600	48	566	48	11	54	S_WARI	SW Call 8:1 x2750 MDKA 20 May 26 RHB (DR)	-	
ADMRDRCH6A	11:13:03	121	-2	-1.6	6049900	35	499	34	39	53	S_WARI	SW Call 2:1 x1800 ADMR 11 Mar 26 RHB (DR)	-	
BBRIBQCK6A	11:27:13	41	-22	-34.9	6027600	16	1501	15	19	63	S_WARI	SW Call 9,6379:1 x4221 BBRI 21 May 26 KISI (BQ)	-	
ADROZPCU6A	09:36:14	69	0	0.0	5865000	12	850	11	5	60	S_WARI	SW Call 7:1 x2400 ADRO 25 Sep 26 Maybank (ZP)	-	
POLI	10:55:01	1165	0	0.0	5825000	0	50	0	1	0	WATCH_CALL	Pollux Hotels Group Tbk.	-	
STTP	11:58:54	9675	0	0.0	5797500	67	6	66	4	50	ORDI_PREOPEN	Siantar Top Tbk.	-	
BOBA	11:40:49	181	1	0.6	5729000	18	321	17	48	25	ORDI_PREOPEN	Formosa Ingredient Factory Tbk.	-	
PNSE	11:00:18	725	5	0.7	5643000	72	80	71	25	64	ORDI_PREOPEN	Pudjiadi & Sons Tbk.	-	
INDYZPCU6A	11:02:49	147	-2	-1.3	5637400	77	372	77	12	91	S_WARI	SW Call 10:1 x2550 INDY 25 Sep 26 Maybank (ZP)	-	
CBUT	11:59:59	1000	10	1.0	5637000	84	56	83	21	76	ORDI_PREOPEN	Citra Borneo Utama Tbk.	-	
XCIS	11:52:55	90	9	11.1	5614200	99	650	99	20	90	MUTI	ETF ACTIVE CIPTADANA PROPERTI PERHOTELAN	-	
IKBI	11:40:36	545	0	0.0	5548500	87	101	87	11	54	ORDI_PREOPEN	Sumi Indo Kabel Tbk.	-	
ANTMZPCJ6A	11:27:13	117	6	5.4	5532000	22	476	21	7	42	S_WARI	SW Call 9:1 x3150 ANTM 27 Apr 26 Maybank (ZP)	-	
ESSAZPCK6A	10:05:30	11	1	10.0	5500000	100	5000	100	2	100	S_WARI	SW Call 8:1 x720 ESSA 20 May 26 Maybank (ZP)	-	
NCKLDRCK6A	10:05:16	70	7	11.1	5495200	0	785	0	3	33	S_WARI	SW Call 6:1 x1150 NCKL 20 May 26 RHB (DR)	-	
DSNGHDCK6A	09:49:32	28	0	0.0	5392700	100	1926	99	10	90	S_WARI	SW Call 4:1 x1732 DSNG 20 May 26 KGI (HD)	-	
PNGO	11:57:51	3200	90	2.9	5321000	36	17	35	9	55	ORDI_PREOPEN	Pinago Utama Tbk.	-	
DVLA	10:55:33	1660	0	0.0	5303500	41	32	40	10	30	ORDI_PREOPEN	Darya-Varia Laboratoria Tbk.	-	
CMRYZPCJ6A	10:33:59	33	2	6.5	5289900	100	1603	100	2	100	S_WARI	SW Call 24,5:1 x5194 CMRY 27 Apr 26 Maybank (ZP)	-	
ICON	11:55:01	84	-1	-1.2	5274300	22	637	21	91	40	WATCH_CALL	Island Concepts Indonesia Tbk.	-	
PGASDRCN6A	11:47:59	132	0	0.0	5254800	5	398	4	9	88	S_WARI	SW Call 2,5:1 x2540 PGAS 29 Jun 26 RHB (DR)	-	
BRISDRCJ6A	11:58:50	11	-1	-8.3	5238300	8	4410	8	13	46	S_WARI	SW Call 12:1 x2900 BRIS 20 Apr 26 RHB (DR)	-	
NCKLDRCH6A	11:42:42	105	25	31.3	5163900	98	521	98	9	55	S_WARI	SW Call 2:1 x1340 NCKL 11 Mar 26 RHB (DR)	-	
MGNA-W	11:51:38	170	5	3.0	5050800	12	315	11	27	29	WARI	Waran MGNA  Magna Investama Mandiri Tbk.	End Waran 2027-08-11	
UNVRZPCU6A	09:39:45	36	1	2.9	5006400	3	1401	3	7	71	S_WARI	SW Call 8:1 x3000 UNVR 25 Sep 26 Maybank (ZP)	-	
INDYZPCN6A	11:38:06	121	-2	-1.6	4985700	70	405	70	3	66	S_WARI	SW Call 12:1 x2450 INDY 28 Jul 26 Maybank (ZP)	-	
PTBADRCN6A	11:15:26	30	-1	-3.2	4974200	68	1662	67	7	71	S_WARI	SW Call 10:1 x3050 PTBA 29 Jun 26 RHB (DR)	-	
XCLQ	11:23:57	93	3	3.3	4914500	100	514	100	13	100	MUTI	ETF PASSIVE CIPTADANA LQ45 INDEX	-	
ABDA	09:55:01	2230	0	0.0	4906000	0	22	0	5	0	WATCH_CALL	Asuransi Bina Dana Arta Tbk.	-	
KIJABQCN6A	11:39:12	32	1	3.2	4755100	49	1498	49	4	50	S_WARI	SW Call 2:1 x575 KIJA 28 Jul 26 KISI (BQ)	-	
BRPTZPCN6A	11:15:09	21	-3	-12.5	4659500	26	2145	25	26	50	S_WARI	SW Call 14:1 x3650 BRPT 28 Jul 26 Maybank (ZP)	-	
MAPABQCK6A	10:10:20	12	-1	-7.7	4650000	51	3800	50	5	40	S_WARI	SW Call 4:1 x1218 MAPA 21 May 26 KISI (BQ)	-	
PDES	11:47:56	545	5	0.9	4513000	19	85	18	19	26	ORDI_PREOPEN	Destinasi Tirta Nusantara Tbk	-	
EMTKDRCH6A	11:29:29	5	1	25.0	4506000	59	9927	53	39	56	S_WARI	SW Call 2,5:1 x1700 EMTK 11 Mar 26 RHB (DR)	-	
BBRIHDCH6A	09:00:05	42	-12	-22.2	4426800	100	1054	100	2	100	S_WARI	SW Call 9,63757:1 x4055 BBRI 12 Mar 26 KGI (HD)	-	
GOTOZPCK6A	11:41:01	8	-2	-20.0	4421400	1	5520	0	24	33	S_WARI	SW Call 1,5:1 x64 GOTO 20 May 26 Maybank (ZP)	-	
FAPA	09:36:29	6125	-25	-0.4	4287500	0	7	0	1	0	ORDI_PREOPEN	FAP Agri Tbk.	-	
BRISYUCN6A	11:26:54	55	-3	-5.2	4278300	65	777	65	10	40	S_WARI	CGS International Sekuritas Indonesia	-	
ERAADRCJ6A	11:47:52	6	1	20.0	4177200	5	8288	4	28	64	S_WARI	SW Call 6:1 x570 ERAA 20 Apr 26 RHB (DR)	-	
AMMNDRCJ6A	10:43:21	26	-3	-10.3	4170700	12	1545	11	5	40	S_WARI	SW Call 30:1 x8700 AMMN 20 Apr 26 RHB (DR)	-	
CTRAHDCK6A	11:25:45	8	-1	-11.1	4104800	35	4581	34	29	72	S_WARI	SW Call 3:1 x1094 CTRA 6 May 26 KGI (HD)	-	
SMGRZPCJ6A	09:11:47	38	3	8.6	4047000	12	1065	12	2	50	S_WARI	SW Call 12:1 x2800 SMGR 27 Apr 26 Maybank (ZP)	-	
ENAK	10:51:37	510	-5	-1.0	3982500	55	79	54	11	45	ORDI_PREOPEN	Champ Resto Indonesia Tbk.	-	
KIJADRCM6A	11:11:15	47	-2	-4.1	3974400	23	818	22	12	50	S_WARI	SW Call 1:1 x206 KIJA 5 Jun 26 RHB (DR)	-	
EMTKZPCM6A	11:46:06	14	0	0.0	3965000	0	2832	0	10	20	S_WARI	SW Call 8:1 x1400 EMTK 25 Jun 26 Maybank (ZP)	-	
MAPIBQCK6A	11:39:08	16	-1	-5.9	3893000	53	2502	51	6	33	S_WARI	SW Call 6:1 x1834 MAPI 22 May 26 KISI (BQ)	-	
LCKM	11:46:17	238	4	1.7	3767000	31	161	30	20	70	ORDI_PREOPEN	LCK Global Kedaton Tbk.	-	
BMSR	11:22:58	332	-8	-2.4	3747200	34	111	33	19	21	ORDI_PREOPEN	Bintang Mitra Semestaraya Tbk	-	
ELSADRCJ6A	11:15:47	88	-3	-3.3	3601300	59	410	58	7	71	S_WARI	SW Call 3:1 x510 ELSA 20 Apr 26 RHB (DR)	-	
DEPO	11:12:03	246	-2	-0.8	3581000	32	147	31	30	46	ORDI_PREOPEN	Caturkarda Depo Bangunan Tbk.	-	
SRTGHDCK6A	11:24:57	36	2	5.9	3560400	100	989	100	2	100	S_WARI	SW Call 4:1 x2062 SRTG 6 May 26 KGI (HD)	-	
ARTA	10:40:03	2690	-30	-1.1	3512000	100	13	100	3	100	ORDI_PREOPEN	Arthavest Tbk	-	
MAPB	11:05:54	1560	20	1.3	3509000	83	23	82	8	75	ORDI_PREOPEN	MAP Boga Adiperkasa Tbk.	-	
TGKA	10:26:28	5000	10	0.2	3497000	86	7	85	4	75	ORDI_PREOPEN	Tigaraksa Satria Tbk.	-	
PGEOZPCM6A	11:01:43	21	1	5.0	3475500	97	1655	96	4	75	S_WARI	SW Call 7:1 x1550 PGEO 25 Jun 26 Maybank (ZP)	-	
AADIBQCQ6A	11:42:03	85	3	3.7	3467700	98	419	97	5	80	S_WARI	SW Call 35:1 x19025 AADI 26 Aug 26 KISI (BQ)	-	
IBST	11:55:01	4930	-545	-10.0	3451000	0	7	0	6	0	WATCH_CALL	Inti Bangun Sejahtera Tbk.	-	
KMTR	10:42:39	278	0	0.0	3346800	53	122	52	17	58	ORDI_PREOPEN	Kirana Megatara Tbk.	-	
KDSI	11:52:23	446	-2	-0.4	3304600	46	74	45	18	55	ORDI_PREOPEN	Kedawung Setia Industrial Tbk.	-	
KOIN	10:55:01	78	-5	-6.0	3303300	0	422	0	12	0	WATCH_CALL	Kokoh Inti Arebama Tbk	-	
KPIGZPCQ6A	10:53:11	44	-5	-10.2	3289000	33	742	32	2	50	S_WARI	SW Call 1:1 x160 KPIG 26 Aug 26 Maybank (ZP)	-	
ISATDRCN6A	11:07:33	44	0	0.0	3179400	0	722	0	4	0	S_WARI	SW Call 5:1 x2790 ISAT 29 Jun 26 RHB (DR)	-	
BBCADRCX6A	11:17:55	2820	-70	-2.4	3136000	27	11	27	7	42	S_WARI	SW Call 0,9701:1 x5821 BBCA 24 Nov 26 RHB (DR)	-	
INKPDRCN6A	11:43:15	110	8	7.8	3087400	84	297	83	6	83	S_WARI	SW Call 13:1 x12200 INKP 29 Jun 26 RHB (DR)	-	
ASRM	11:19:03	300	0	0.0	2976200	14	100	14	9	33	ORDI_PREOPEN	Asuransi Ramayana Tbk.	-	
GOTOBQCJ6A	11:59:52	4	0	0.0	2877300	100	5755	99	30	93	S_WARI	SW Call 2:1 x68 GOTO 27 Apr 26 KISI (BQ)	-	
AMMNBQCM6A	09:03:11	41	-1	-2.4	2829500	1	690	0	2	50	S_WARI	SW Call 40:1 x17600 AMMN 25 Jun 26 KISI (BQ)	-	
PWONDRCN6A	11:54:11	16	1	6.7	2807000	92	1878	91	8	25	S_WARI	SW Call 1,5:1 x510 PWON 29 Jun 26 RHB (DR)	-	
BINA	10:08:48	4610	-70	-1.5	2766000	0	6	0	1	0	ORDI_PREOPEN	Bank Ina Perdana Tbk.	-	
PGEOZPCJ6A	11:30:30	10	-1	-9.1	2731200	57	2589	54	9	44	S_WARI	SW Call 6:1 x1800 PGEO 27 Apr 26 Maybank (ZP)	-	
BPFI	11:58:16	286	0	0.0	2666400	86	93	86	14	64	ORDI_PREOPEN	Woori Finance Indonesia Tbk.	-	
ACESZPCJ6A	11:54:02	7	0	0.0	2652800	16	3715	14	43	30	S_WARI	SW Call 4:1 x510 ACES 27 Apr 26 Maybank (ZP)	-	
SHID	11:59:35	860	0	0.0	2605000	43	31	41	18	38	ORDI_PREOPEN	Hotel Sahid Jaya International Tbk.	-	
XILV	10:17:43	122	5	4.3	2575800	100	220	99	5	80	MUTI	ETF PASSIVE INSIGHT FTSE INDEX	-	
AMRTZPCK6A	11:39:52	9	-1	-10.0	2449800	95	2722	95	14	78	S_WARI	SW Call 13:1 x2350 AMRT 20 May 26 Maybank (ZP)	-	
ASBI	11:53:27	428	2	0.5	2418400	39	57	38	7	42	ORDI_PREOPEN	Asuransi Bintang Tbk.	-	
INCOBQCJ6A	11:59:44	192	26	15.7	2327000	70	119	69	8	75	S_WARI	SW Call 12:1 x5225 INCO 27 Apr 26 KISI (BQ)	-	
MDKAZPCV6A	09:35:08	69	1	1.5	2221800	0	322	0	1	0	S_WARI	SW Call 15:1 x6600 MDKA 27 Okt 26 Maybank (ZP)	-	
BRNA	11:20:07	720	5	0.7	2189000	7	31	6	4	25	ORDI_PREOPEN	Berlina Tbk.	-	
BMRIDRCN6A	10:49:00	71	1	1.4	2130000	0	300	0	1	0	S_WARI	SW Call 8:1 x6300 BMRI 29 Jun 26 RHB (DR)	-	
MEDCHDCH6A	10:15:42	102	5	5.2	2090900	100	205	100	2	100	S_WARI	SW Call 4,89393:1 x1170 MEDC 26 Mar 26 KGI (HD)	-	
INDYHDCN6A	09:15:22	156	6	4.0	2090400	25	134	25	2	50	S_WARI	SW Call 11:1 x2294 INDY 9 Jul 26 KGI (HD)	-	
EMTKZPCH6A	10:18:30	88	-2	-2.2	2071800	62	239	61	5	80	S_WARI	SW Call 5:1 x500 EMTK 26 Mar 26 Maybank (ZP)	-	
LSIPDRCK6A	10:59:08	13	-1	-7.1	2023700	1	1600	1	13	30	S_WARI	SW Call 6:1 x1600 LSIP 20 May 26 RHB (DR)	-	
GOTOBQCQ6A	10:57:53	7	0	0.0	2013200	100	2876	100	6	100	S_WARI	SW Call 2:1 x80 GOTO 24 Aug 26 KISI (BQ)	-	
SONA	11:49:08	2220	-70	-3.1	2009000	11	9	11	6	16	ORDI_PREOPEN	Sona Topas Tourism Industry Tbk.	-	
IGAR	10:34:19	505	0	0.0	2002300	38	40	37	18	66	ORDI_PREOPEN	Champion Pacific Indonesia Tbk.	-	
ACESBQCK6A	11:36:18	8	0	0.0	1919100	96	2414	94	32	84	S_WARI	SW Call 4:1 x697 ACES 22 May 26 KISI (BQ)	-	
PANIBQCQ6A	11:50:49	69	-3	-4.2	1910700	18	282	17	9	44	S_WARI	SW Call 50:1 x35600 PANI 26 Aug 26 KISI (BQ)	-	
PGEOBQCJ6A	09:14:37	19	0	0.0	1900000	0	1000	0	2	0	S_WARI	SW Call 6:1 x2226 PGEO 27 Apr 26 KISI (BQ)	-	
CAKK	10:10:47	174	0	0.0	1887000	46	107	45	13	46	ORDI_PREOPEN	Cahayaputra Asa Keramik Tbk.	-	
BBNIBQCG6A	11:37:03	10	-1	-9.1	1867800	14	2047	12	20	55	S_WARI	SW Call 8:1 x5225 BBNI 24 Feb 26 KISI (BQ)	-	
ARTOBQCN6A	10:56:15	15	-1	-6.3	1849500	0	1233	0	4	0	S_WARI	SW Call 10:1 x3610 ARTO 28 Jul 26 KISI (BQ)	-	
HRUMZPCU6A	09:40:01	27	1	3.8	1846800	0	684	0	2	0	S_WARI	SW Call 8:1 x1200 HRUM 25 Sep 26 Maybank (ZP)	-	
XIPB	11:50:21	194	-6	-3.0	1831600	86	90	85	13	76	MUTI	ETF PASSIVE IPIM IDX-PEFINDO PRIME BANK INDEX	-	
ANTMHDCH6B	09:34:52	164	5	3.1	1823500	0	111	0	3	0	S_WARI	SW Call 8:1 x2838 ANTM 26 Mar 26 KGI (HD)	-	
PWONZPCH6A	11:45:42	14	1	7.7	1792800	40	1340	37	4	75	S_WARI	SW Call 1,9305:1 x386 PWON 26 Mar 26 Maybank (ZP)	-	
XSSI	10:29:29	85	3	3.7	1758800	48	207	48	8	12	MUTI	ETF PASSIVE SIMAS JII INDEX	-	
XDIF	11:57:31	520	-90	-14.8	1708000	34	31	32	8	75	MUTI	ETF ACTIVE DANAREKSA TOP 40 STOCK	-	
BTPSZPCH6A	11:57:49	12	-1	-7.7	1672700	7	1298	6	8	25	S_WARI	SW Call 9,7106:1 x1311 BTPS 26 Mar 26 Maybank (ZP)	-	
SCMAHDCK6A	11:32:12	22	0	0.0	1577100	13	722	13	10	10	S_WARI	SW Call 1,95135:1 x363 SCMA 20 May 26 KGI (HD)	-	
NCKLHDCK6A	11:56:01	105	23	28.0	1555000	17	151	16	7	28	S_WARI	SW Call 4:1 x1163 NCKL 20 May 26 KGI (HD)	-	
ASIIZPCV6A	11:59:07	50	0	0.0	1469000	1	288	1	8	37	S_WARI	SW Call 30:1 x19875 ASII 27 Okt 26 Maybank (ZP)	-	
