Stock	Time	Last	Chg	Chg%	TVal	%Val	TLot	%Lot	TFrq	%Frq	Type	Stock Name	Corp. Action	
MICE	11:59:46	535	-5	-0.9	35841500	4	681	4	20	40	ORDI_PREOPEN	Multi Indocitra Tbk.	-	
FLMC	11:49:04	129	-2	-1.5	35790400	25	2750	25	56	25	ACCEL	Falmaco Nonwoven Industri Tbk.	-	
TAMA	11:55:01	56	0	0.0	35772800	0	6388	0	41	0	WATCH_CALL	Lancartama Sejati Tbk.	-	
POLU	11:58:38	19900	0	0.0	35737500	56	18	55	17	52	ORDI_PREOPEN	Golden Flower Tbk.	-	
INTD	11:47:44	300	-6	-2.0	35612600	53	1191	52	78	44	ORDI_PREOPEN	Inter Delta Tbk	-	
CMNP	11:53:50	1390	-5	-0.4	34362000	9	247	8	38	26	ORDI_PREOPEN	Citra Marga Nusaphala Persada Tbk.	-	
BSIM	11:52:24	1125	-5	-0.4	34266500	45	305	45	38	65	ORDI_PREOPEN	Bank Sinarmas Tbk.	-	
ANTMHDCH6A	10:48:02	87	-2	-2.2	34233400	71	3823	71	17	58	S_WARI	SW Call 10:1 x3313 ANTM 12 Mar 26 KGI (HD)	-	
FISH	11:36:48	965	-10	-1.0	33714500	48	346	47	52	38	ORDI_PREOPEN	FKS Multi Agro Tbk.	-	
BBSI	10:50:08	4110	-40	-1.0	33645000	67	82	67	23	47	ORDI_PREOPEN	Krom Bank Indonesia Tbk.	-	
TRUK	11:46:49	382	-6	-1.5	33500200	43	870	43	113	28	ORDI_PREOPEN	Guna Timur Raya Tbk.	-	
HDFA	11:54:42	122	-1	-0.8	33200300	46	2671	46	92	45	ORDI_PREOPEN	Radana Bhaskara Finance Tbk.	-	
MDKI	10:34:18	206	0	0.0	32808000	15	1590	15	35	37	ORDI_PREOPEN	Emdeki Utama Tbk.	-	
ALDO	11:53:22	540	0	0.0	32235500	27	610	26	74	27	ORDI_PREOPEN	Alkindo Naratama Tbk.	-	
JRPT	11:46:42	1080	0	0.0	32165000	6	299	6	15	26	ORDI_PREOPEN	Jaya Real Property Tbk.	-	
PTIS	11:55:09	294	6	2.1	31897600	49	1095	48	108	53	ORDI_PREOPEN	Indo Straits Tbk.	-	
TYRE	11:48:43	119	0	0.0	31835400	43	2697	42	69	43	ORDI_PREOPEN	King Tire Indonesia Tbk.	-	
CTBN	11:17:54	6050	-25	-0.4	31387500	79	52	78	15	53	ORDI_PREOPEN	Citra Tubindo Tbk.	-	
UCID	11:02:28	432	-2	-0.5	31089000	60	719	59	36	44	ORDI_PREOPEN	Uni-Charm Indonesia Tbk.	-	
BPTR	11:50:55	84	-1	-1.2	30113300	31	3628	30	150	46	ORDI_PREOPEN	Batavia Prosperindo Trans Tbk.	-	
INCOZPCK6A	09:42:49	168	42	33.3	30070200	10	1860	10	20	45	S_WARI	SW Call 18:1 x4400 INCO 20 May 26 Maybank (ZP)	-	
PNLFDRCJ6A	09:00:57	10	0	0.0	30000000	0	30000	0	3	0	S_WARI	SW Call 4:1 x290 PNLF 20 Apr 26 RHB (DR)	-	
INDR	11:59:53	3140	10	0.3	29851000	26	95	26	24	45	ORDI_PREOPEN	Indo-Rama Synthetics Tbk.	-	
CHEK	11:59:02	141	1	0.7	29735300	65	2114	64	107	65	ORDI_PREOPEN	Diastika Biotekindo Tbk.	-	
